Reflection: 3
Expansion: 0
OuterContraction: 2
InContraction: 1
Shrink: 94
K_max	Best Sigma	Accuracy
10	0.7307922184287818	0.9682034976152624
20	0.7307922184287818	0.9682034976152624
30	0.7307922184287818	0.9682034976152624
40	0.7307922184287818	0.9682034976152624
50	0.7307922184287818	0.9682034976152624
60	0.7307922184287818	0.9682034976152624
70	0.7307922184287818	0.9682034976152624
80	0.7307922184287818	0.9682034976152624
90	0.7307922184287818	0.9682034976152624
100	0.7307922184287818	0.9682034976152624
---------
10	0.7307922184287818	0.9714285714285714
20	0.7307922184287818	0.9714285714285714
30	0.7307922184287818	0.9714285714285714
40	0.7307922184287818	0.9714285714285714
50	0.7307922184287818	0.9714285714285714
60	0.7307922184287818	0.9714285714285714
70	0.7307922184287818	0.9714285714285714
80	0.7307922184287818	0.9714285714285714
90	0.7307922184287818	0.9714285714285714
100	0.7307922184287818	0.9714285714285714
