K_max	a	b	Step_size	Best Sigma	Accuracy
10	1.5	0.7	0.1	0.8651921740604315	0.9666136724960255
10	1.5	0.7	0.5	0.8629526038180658	0.9666136724960255
10	1.5	0.5	0.1	0.8648722354543792	0.9666136724960255
10	1.5	0.5	0.5	0.8635924810301703	0.9666136724960255
10	2	0.7	0.1	0.8647442600119584	0.9666136724960255
10	2	0.7	0.5	0.8629526038180658	0.9666136724960255
10	2	0.5	0.1	0.8648722354543792	0.9666136724960255
10	2	0.5	0.5	0.8635924810301703	0.9666136724960255
20	1.5	0.7	0.1	0.8529950458633987	0.9666136724960255
20	1.5	0.7	0.5	0.8629526038180658	0.9666136724960255
20	1.5	0.5	0.1	0.8564799396339795	0.9666136724960255
20	1.5	0.5	0.5	0.8635924810301703	0.9666136724960255
20	2	0.7	0.1	0.8529950458633987	0.9666136724960255
20	2	0.7	0.5	0.8629526038180658	0.9666136724960255
20	2	0.5	0.1	0.8564799396339795	0.9666136724960255
20	2	0.5	0.5	0.8635924810301703	0.9666136724960255
30	1.5	0.7	0.1	0.8582043397819952	0.9666136724960255
30	1.5	0.7	0.5	0.8629526038180658	0.9666136724960255
30	1.5	0.5	0.1	0.8602008638615484	0.9666136724960255
30	1.5	0.5	0.5	0.840235623066016	0.9666136724960255
30	2	0.7	0.1	0.8582043397819952	0.9666136724960255
30	2	0.7	0.5	0.8629526038180658	0.9666136724960255
30	2	0.5	0.1	0.8602008638615484	0.9666136724960255
30	2	0.5	0.5	0.840235623066016	0.9666136724960255
40	1.5	0.7	0.1	0.859550750583223	0.9666136724960255
40	1.5	0.7	0.5	0.8629526038180658	0.9666136724960255
40	1.5	0.5	0.1	0.859550750583223	0.9666136724960255
40	1.5	0.5	0.5	0.840235623066016	0.9666136724960255
40	2	0.7	0.1	0.859550750583223	0.9666136724960255
40	2	0.7	0.5	0.8629526038180658	0.9666136724960255
40	2	0.5	0.1	0.859550750583223	0.9666136724960255
40	2	0.5	0.5	0.840235623066016	0.9666136724960255
50	1.5	0.7	0.1	0.8467033506454913	0.9666136724960255
50	1.5	0.7	0.5	0.8454471918902019	0.9666136724960255
50	1.5	0.5	0.1	0.8400646594488675	0.9666136724960255
50	1.5	0.5	0.5	0.8510886153674103	0.9666136724960255
50	2	0.7	0.1	0.8467033506454913	0.9666136724960255
50	2	0.7	0.5	0.8454471918902019	0.9666136724960255
50	2	0.5	0.1	0.8400646594488675	0.9666136724960255
50	2	0.5	0.5	0.8510886153674103	0.9666136724960255
60	1.5	0.7	0.1	0.8520790199309116	0.9666136724960255
60	1.5	0.7	0.5	0.8454471918902019	0.9666136724960255
60	1.5	0.5	0.1	0.8520790199309116	0.9666136724960255
60	1.5	0.5	0.5	0.8510886153674103	0.9666136724960255
60	2	0.7	0.1	0.8520790199309116	0.9666136724960255
60	2	0.7	0.5	0.8454471918902019	0.9666136724960255
60	2	0.5	0.1	0.8520790199309116	0.9666136724960255
60	2	0.5	0.5	0.8510886153674103	0.9666136724960255
70	1.5	0.7	0.1	0.8656645486497638	0.9666136724960255
70	1.5	0.7	0.5	0.8454471918902019	0.9666136724960255
70	1.5	0.5	0.1	0.8656645486497638	0.9666136724960255
70	1.5	0.5	0.5	0.8510886153674103	0.9666136724960255
70	2	0.7	0.1	0.8656645486497638	0.9666136724960255
70	2	0.7	0.5	0.8454471918902019	0.9666136724960255
70	2	0.5	0.1	0.8656645486497638	0.9666136724960255
70	2	0.5	0.5	0.8510886153674103	0.9666136724960255
80	1.5	0.7	0.1	0.8489592988372	0.9666136724960255
80	1.5	0.7	0.5	0.8454471918902019	0.9666136724960255
80	1.5	0.5	0.1	0.8535972631866947	0.9666136724960255
80	1.5	0.5	0.5	0.8663731105337623	0.9666136724960255
80	2	0.7	0.1	0.8489592988372	0.9666136724960255
80	2	0.7	0.5	0.8454471918902019	0.9666136724960255
80	2	0.5	0.1	0.8535972631866947	0.9666136724960255
80	2	0.5	0.5	0.8663731105337623	0.9666136724960255
90	1.5	0.7	0.1	0.8489592988372	0.9666136724960255
90	1.5	0.7	0.5	0.8454471918902019	0.9666136724960255
90	1.5	0.5	0.1	0.8535972631866947	0.9666136724960255
90	1.5	0.5	0.5	0.8663731105337623	0.9666136724960255
90	2	0.7	0.1	0.8489592988372	0.9666136724960255
90	2	0.7	0.5	0.8454471918902019	0.9666136724960255
90	2	0.5	0.1	0.8535972631866947	0.9666136724960255
90	2	0.5	0.5	0.8663731105337623	0.9666136724960255
100	1.5	0.7	0.1	0.8525466232605802	0.9666136724960255
100	1.5	0.7	0.5	0.8454471918902019	0.9666136724960255
100	1.5	0.5	0.1	0.8561596377748234	0.9666136724960255
100	1.5	0.5	0.5	0.8663731105337623	0.9666136724960255
100	2	0.7	0.1	0.8525466232605802	0.9666136724960255
100	2	0.7	0.5	0.8454471918902019	0.9666136724960255
100	2	0.5	0.1	0.8561596377748234	0.9666136724960255
100	2	0.5	0.5	0.8663731105337623	0.9666136724960255
---------
10	1.5	0.7	0.1	0.8651921740604315	0.9714285714285714
10	1.5	0.7	0.5	0.8629526038180658	0.9714285714285714
10	1.5	0.5	0.1	0.8648722354543792	0.9714285714285714
10	1.5	0.5	0.5	0.8635924810301703	0.9714285714285714
10	2	0.7	0.1	0.8647442600119584	0.9714285714285714
10	2	0.7	0.5	0.8629526038180658	0.9714285714285714
10	2	0.5	0.1	0.8648722354543792	0.9714285714285714
10	2	0.5	0.5	0.8635924810301703	0.9714285714285714
20	1.5	0.7	0.1	0.8529950458633987	0.9714285714285714
20	1.5	0.7	0.5	0.8629526038180658	0.9714285714285714
20	1.5	0.5	0.1	0.8564799396339795	0.9714285714285714
20	1.5	0.5	0.5	0.8635924810301703	0.9714285714285714
20	2	0.7	0.1	0.8529950458633987	0.9714285714285714
20	2	0.7	0.5	0.8629526038180658	0.9714285714285714
20	2	0.5	0.1	0.8564799396339795	0.9714285714285714
20	2	0.5	0.5	0.8635924810301703	0.9714285714285714
30	1.5	0.7	0.1	0.8582043397819952	0.9714285714285714
30	1.5	0.7	0.5	0.8629526038180658	0.9714285714285714
30	1.5	0.5	0.1	0.8602008638615484	0.9714285714285714
30	1.5	0.5	0.5	0.840235623066016	0.9714285714285714
30	2	0.7	0.1	0.8582043397819952	0.9714285714285714
30	2	0.7	0.5	0.8629526038180658	0.9714285714285714
30	2	0.5	0.1	0.8602008638615484	0.9714285714285714
30	2	0.5	0.5	0.840235623066016	0.9714285714285714
40	1.5	0.7	0.1	0.859550750583223	0.9714285714285714
40	1.5	0.7	0.5	0.8629526038180658	0.9714285714285714
40	1.5	0.5	0.1	0.859550750583223	0.9714285714285714
40	1.5	0.5	0.5	0.840235623066016	0.9714285714285714
40	2	0.7	0.1	0.859550750583223	0.9714285714285714
40	2	0.7	0.5	0.8629526038180658	0.9714285714285714
40	2	0.5	0.1	0.859550750583223	0.9714285714285714
40	2	0.5	0.5	0.840235623066016	0.9714285714285714
50	1.5	0.7	0.1	0.8467033506454913	0.9714285714285714
50	1.5	0.7	0.5	0.8454471918902019	0.9714285714285714
50	1.5	0.5	0.1	0.8400646594488675	0.9714285714285714
50	1.5	0.5	0.5	0.8510886153674103	0.9714285714285714
50	2	0.7	0.1	0.8467033506454913	0.9714285714285714
50	2	0.7	0.5	0.8454471918902019	0.9714285714285714
50	2	0.5	0.1	0.8400646594488675	0.9714285714285714
50	2	0.5	0.5	0.8510886153674103	0.9714285714285714
60	1.5	0.7	0.1	0.8520790199309116	0.9714285714285714
60	1.5	0.7	0.5	0.8454471918902019	0.9714285714285714
