[-1.67, 0.78, -0.42]	[0.25, 0.06, -0.51]	[0.98, 2.47, 0.4]	[-1.25, -2.13, -1.76]	[-0.52, 1.05, -0.02]
[-2.0, -0.79, 1.6]	[1.09, -0.46, 0.77]	[0.33, 2.0, -2.25]	[-2.17, -0.95, -2.0]	[-0.28, 0.53, 0.72]
[1.47, -1.29, -2.2]	[-1.32, -2.31, 1.83]	[0.57, -2.2, -0.57]	[-0.64, 0.67, -2.02]	[0.48, 0.12, 2.4]
[-1.55, -2.07, 0.84]	[-1.63, 1.55, 0.4]	[-1.38, 0.69, 0.99]	[-0.39, 1.81, -1.36]	[2.14, -2.48, 1.01]
[1.33, 1.3, -0.5]	[0.92, -1.94, -2.03]	[0.9, 1.07, -0.21]	[0.9, 2.26, 0.25]	[0.78, -2.26, -0.07]
[-2.42, 1.12, 1.15]	[2.31, 0.59, 2.1]	[-1.67, 1.72, 1.23]	[-2.05, -1.18, -1.2]	[-2.46, 1.27, -0.33]
[-1.4, -0.53, -0.57]	[-0.4, -1.55, -0.74]	[2.29, 1.66, 1.68]	[-0.75, -1.45, -0.92]	[0.41, -2.29, -1.32]
[-0.12, -2.12, -1.66]	[1.6, -1.3, -1.31]	[0.68, -0.49, -0.9]	[-1.66, 2.01, 0.84]	[2.38, -0.26, -2.33]
[-2.15, -0.14, 0.38]	[-0.72, 0.69, 1.08]	[0.35, 2.4, 0.73]	[-0.06, -0.89, 1.68]	[2.43, 1.8, 1.68]
[-0.9, 1.6, -0.96]	[-1.32, 2.39, 0.78]	[-1.11, -1.83, -2.39]	[-1.54, 1.75, 0.67]	[-0.02, 1.85, -0.39]
