[2.45, 1.84, -1.35]	[1.9, -1.5, -0.11]	[-2.03, 2.16, 1.25]	[-1.93, -0.6, 0.74]	[-2.29, 0.4, 1.65]
[-0.72, -0.49, -0.53]	[-1.36, -1.44, -0.61]	[-1.81, 0.09, -0.82]	[-0.89, 1.2, -0.25]	[1.16, 0.44, 1.93]
[1.96, -1.33, 0.35]	[0.89, -1.71, -0.53]	[0.25, 0.68, -0.72]	[1.03, -2.29, 1.37]	[-1.37, -0.81, 0.86]
[-0.99, 1.9, -1.29]	[-0.79, -1.34, -0.38]	[-1.1, 0.54, 1.15]	[-1.61, -1.07, -0.87]	[0.08, 1.93, -2.18]
[-1.88, -0.6, -2.48]	[0.42, 2.26, -1.48]	[-2.0, 0.05, 1.62]	[-1.02, -0.66, -2.45]	[0.35, -1.23, -0.52]
[0.51, 2.41, 0.1]	[-0.97, -1.12, -2.32]	[0.33, -2.23, -2.23]	[-1.83, -1.23, 1.49]	[-1.88, -2.46, -1.63]
[2.31, 2.37, 0.95]	[-0.35, -0.48, -2.5]	[1.05, -1.55, 0.98]	[2.17, -1.87, 0.4]	[-2.04, 0.13, 1.36]
[-1.1, -2.11, 0.37]	[2.1, -1.95, -0.46]	[-1.46, -0.06, -0.97]	[-0.9, -0.38, 1.35]	[-2.08, -1.6, 0.34]
[-1.75, 0.98, 0.89]	[1.56, 1.25, -1.46]	[0.75, 1.56, -0.65]	[1.95, -0.59, -2.15]	[-0.88, -0.21, -1.69]
[-0.95, 2.26, -1.16]	[0.51, -1.38, 2.31]	[1.72, 0.22, -2.21]	[0.6, 2.35, -0.2]	[1.34, 0.5, 2.41]
