[1.29, -0.87, -1.18]	[-0.45, 1.53, 0.95]	[-1.0, -0.3, 0.61]	[-2.26, 1.95, -1.76]	[2.48, 1.82, 0.76]
[-0.42, 1.73, -1.31]	[0.87, 0.57, -1.82]	[-0.42, 2.37, -2.46]	[-0.26, 1.74, 2.38]	[1.14, 0.2, -1.91]
[0.06, -1.75, -2.15]	[-2.18, 0.92, -1.0]	[-0.42, -1.95, 2.2]	[-0.61, 1.02, -1.59]	[1.38, 1.51, 1.36]
[0.55, -2.24, 0.21]	[-1.2, -1.47, -1.21]	[-1.48, -0.09, -2.42]	[-0.11, 1.09, -0.92]	[-0.53, 2.21, 1.73]
[-0.86, 1.15, -0.94]	[1.59, 0.61, 0.7]	[0.8, -0.75, 0.31]	[-1.82, 0.36, -2.44]	[0.68, -0.51, 2.33]
[-1.58, 2.22, -1.46]	[1.24, 0.45, -1.88]	[1.82, 1.6, -2.05]	[2.23, -2.35, -0.88]	[-1.7, 1.68, 0.72]
[0.92, -1.19, -0.98]	[0.57, -0.35, -1.12]	[0.46, 1.35, 0.88]	[-2.24, -1.17, -0.67]	[-1.47, -0.11, 1.16]
[1.77, 2.03, -1.66]	[1.03, -2.31, -2.1]	[-1.99, -1.02, -2.1]	[1.86, -1.52, -0.9]	[2.49, -2.37, -2.24]
[1.21, -1.7, -1.94]	[0.81, 0.26, -2.3]	[0.67, -0.35, -1.03]	[-1.31, -2.38, -1.27]	[1.82, 1.28, -0.32]
[1.54, -1.6, -2.27]	[1.6, -0.32, 0.89]	[1.57, 1.53, 0.39]	[0.72, -1.5, 1.65]	[-1.9, -2.16, 0.25]
