[-0.93, -1.41, 2.47]	[2.04, -2.04, -2.26]	[-2.41, -2.48, 0.5]	[-1.93, -1.96, 1.87]	[2.07, -0.02, 2.36]
[0.58, 1.04, 2.24]	[1.87, -1.68, -0.41]	[-0.59, -0.1, 2.08]	[-1.83, 2.39, 2.41]	[-1.91, -0.2, 0.74]
[0.89, -2.21, -0.68]	[-1.79, -2.12, 1.49]	[-2.15, 0.04, -0.89]	[1.98, -2.17, 0.4]	[0.31, -0.58, -1.69]
[-1.96, 0.89, -1.85]	[-0.89, -1.07, 0.68]	[2.44, 1.83, -0.44]	[-0.25, -1.44, 0.82]	[-1.38, 2.22, 2.12]
[-0.07, -2.14, -0.12]	[1.16, -1.94, 2.23]	[-1.94, -1.87, 1.97]	[-1.36, -1.06, 0.65]	[1.27, 0.12, 0.57]
[2.13, 2.33, -1.84]	[1.78, 0.89, 1.06]	[2.19, -0.65, 0.93]	[1.16, 2.5, -1.31]	[-0.76, 2.04, -0.43]
[-2.33, -1.52, -2.23]	[1.97, 1.01, -0.91]	[-1.47, -0.94, -1.88]	[1.04, -2.38, -1.31]	[0.12, -2.05, -2.01]
[2.28, -2.06, 1.56]	[-1.04, -0.36, -1.02]	[2.22, -0.39, 1.77]	[-1.42, 2.4, -0.15]	[-1.33, 2.33, 0.19]
[-1.6, -2.27, 0.68]	[-2.1, -1.87, 0.09]	[1.56, 0.21, 0.67]	[1.87, 0.74, 0.99]	[-1.7, -1.39, 1.85]
[-1.34, 1.69, -0.03]	[-0.61, -2.22, 0.84]	[-0.55, 0.33, 0.24]	[1.49, 0.99, -1.6]	[-0.13, -1.5, -1.25]
