[-1.6, -1.11, 2.19]	[2.11, 1.0, -1.42]	[-1.8, 0.56, 2.4]	[-2.27, -1.55, -2.44]	[-0.06, 1.41, 2.41]	[1.97, -2.08, 0.37]	[1.22, -2.08, 0.58]	[-1.63, -0.3, -1.74]	[-1.98, -1.02, 0.89]
[0.04, -0.15, 1.52]	[-2.23, 1.61, 2.37]	[0.22, 1.09, -1.43]	[1.35, 1.3, 2.08]	[-1.96, 1.66, 0.16]	[0.5, 1.2, -1.63]	[2.03, 0.94, 1.24]	[0.22, 1.41, -0.4]	[0.73, -0.4, 1.41]
[2.15, -2.26, 1.24]	[-0.54, -0.79, 2.38]	[-1.33, -0.4, 1.39]	[0.48, -2.45, -0.25]	[0.39, 2.15, -1.9]	[-0.18, 1.41, 0.0]	[-0.17, 0.78, 1.94]	[0.71, 1.45, -1.28]	[-0.62, 1.32, 0.37]
[1.21, 2.35, -1.78]	[2.19, -0.04, 1.75]	[1.86, 0.38, -1.1]	[0.93, -1.5, 0.92]	[-0.95, -0.68, -1.97]	[-0.55, -1.63, -0.71]	[-1.78, -0.96, 0.98]	[-0.27, 2.42, 1.91]	[-2.24, -1.86, 2.42]
[-2.03, -0.92, -2.33]	[-0.54, -0.31, -1.89]	[-1.33, -1.45, -2.37]	[1.75, 2.02, 0.79]	[1.39, -1.83, -1.23]	[1.42, -0.38, -1.68]	[1.1, -1.88, -1.8]	[0.45, -0.25, -2.02]	[1.94, -0.59, -1.85]
[0.94, 1.93, -1.88]	[-1.01, 0.44, 1.83]	[-2.33, 2.2, 0.27]	[0.54, -1.42, -0.02]	[1.31, 1.02, -0.59]	[1.17, -1.47, 1.61]	[-1.19, -1.09, -1.28]	[1.89, -0.86, 2.05]	[-0.59, -1.09, -1.57]
[1.94, 0.78, 0.56]	[-0.71, 1.5, -0.22]	[0.75, -1.08, 0.44]	[0.71, -0.86, -0.93]	[-0.89, -0.87, 2.02]	[1.92, 1.33, -2.07]	[0.27, 1.73, -0.26]	[0.22, -0.65, 0.28]	[2.23, 1.54, 2.17]
[-1.6, 1.79, -1.35]	[2.4, -1.27, -1.13]	[-0.98, 1.69, 0.69]	[1.05, 1.37, -0.79]	[-1.07, 1.76, 1.88]	[-2.31, 0.55, 0.25]	[2.4, -2.45, -1.42]	[-2.5, 0.62, -0.89]	[1.99, 1.1, 2.36]
[-2.24, 2.35, -0.95]	[-2.33, -2.08, 0.3]	[0.84, -2.19, 1.84]	[1.95, -0.36, 2.23]	[1.46, 1.35, -0.36]	[-1.93, 2.38, 0.32]	[-0.43, -2.5, -0.76]	[2.14, -1.59, -1.32]	[-2.45, -0.61, 1.64]
[2.16, -2.38, -1.22]	[0.61, -0.72, 0.45]	[0.22, -0.32, -0.3]	[0.68, 0.2, 2.19]	[-0.83, -0.37, -1.7]	[0.06, -0.19, -1.97]	[1.93, 0.25, -0.16]	[1.61, 0.91, -0.37]	[-1.46, -1.65, -1.54]
