[1.59, 0.45, 0.35]	[1.53, 1.6, 0.54]	[2.46, -0.1, 1.2]	[2.24, 1.63, 1.82]	[-0.07, 2.24, 1.57]	[1.25, 2.45, -2.14]	[1.76, 0.82, -0.63]	[-2.5, 0.6, 0.89]	[0.13, 1.1, 0.16]
[0.18, -1.86, -2.32]	[1.29, -0.09, -0.86]	[0.82, -1.49, -0.81]	[2.06, 0.79, -1.39]	[0.97, -1.15, -1.85]	[1.54, 1.67, -2.07]	[-1.11, 1.34, -0.53]	[-0.33, -2.19, -0.79]	[2.17, 2.5, -2.33]
[1.91, -1.43, -1.95]	[0.49, 1.03, -1.18]	[1.89, -1.88, 0.88]	[0.84, 1.25, -0.08]	[1.73, -0.83, 0.96]	[2.34, -1.53, 1.0]	[1.31, -1.66, -0.27]	[-0.1, -1.77, -2.25]	[0.16, -1.56, 2.01]
[-0.12, -0.88, -0.36]	[-0.12, -1.84, 0.07]	[1.37, -1.83, -1.15]	[0.38, -0.15, -0.97]	[-1.43, 0.78, 0.33]	[-2.23, -1.47, 2.09]	[0.02, -2.11, -1.24]	[-1.05, 0.94, 2.06]	[0.61, -0.52, -0.66]
[-0.46, 0.94, 0.21]	[-0.12, -0.1, -2.32]	[0.64, -0.32, 0.0]	[1.54, -1.37, 1.36]	[0.65, 1.42, 1.15]	[-0.99, -0.65, 2.36]	[-1.35, 2.5, -1.78]	[-0.92, -1.55, -2.11]	[-1.04, -0.31, 1.55]
[-0.51, 1.73, 1.93]	[-1.4, 1.31, -0.58]	[1.98, 1.57, -1.05]	[-1.37, -1.13, -0.42]	[-1.96, -2.37, 1.32]	[-1.7, -1.56, -0.55]	[-1.14, 0.56, 1.47]	[-0.79, -2.46, -1.53]	[-1.95, 1.6, 1.0]
[2.13, 2.12, -0.33]	[0.06, -0.98, -2.03]	[0.46, -2.29, -1.96]	[-0.94, -2.48, 1.48]	[0.15, -1.88, -1.87]	[-2.06, -1.95, 0.96]	[-0.7, -0.78, -0.21]	[-1.43, -2.15, 0.48]	[-1.71, 2.21, 1.71]
[-2.02, 1.86, 2.38]	[-1.53, 1.95, -0.9]	[-1.42, 2.37, -1.54]	[-0.82, 1.57, 1.78]	[-1.68, 0.43, 1.96]	[1.95, 1.11, 0.28]	[-1.2, -1.81, 0.09]	[1.16, 2.3, 0.83]	[-0.59, -0.54, 0.94]
[-1.51, -1.09, 1.39]	[1.63, -1.85, -0.84]	[1.53, -2.03, 0.15]	[-0.32, 1.24, -2.3]	[1.41, 0.2, -1.05]	[0.33, -0.16, -1.5]	[2.07, 1.51, 1.56]	[-2.15, -0.62, 2.32]	[-0.12, -1.95, 0.31]
[-2.21, -1.52, 1.72]	[-2.23, 0.89, 2.16]	[-2.3, -0.53, 2.15]	[-1.44, -2.03, -2.38]	[1.83, -1.73, -0.36]	[0.29, -1.43, -0.82]	[0.69, -1.46, -1.23]	[-1.32, -2.45, -0.51]	[-2.2, -2.0, -0.99]
