[-1.26, 2.43, 1.46]	[-1.09, -1.01, -0.14]	[-0.52, -1.53, 0.16]	[-1.48, 2.44, -0.85]	[-2.4, 2.09, -0.44]	[1.25, -0.7, -1.85]	[-1.31, -0.1, 1.48]	[-0.92, -1.98, -1.21]	[0.11, -0.51, -1.37]	[-2.11, 1.73, -0.55]	[-1.04, 1.53, -0.66]	[0.85, -2.46, 0.22]	[-1.43, 0.95, 0.33]	[-0.94, 1.17, -0.88]	[-0.78, 0.34, 1.5]
[-1.09, -1.46, -0.7]	[1.73, -1.97, 2.17]	[-0.19, -1.67, -0.45]	[-2.09, 1.57, -1.28]	[2.29, 0.25, 0.85]	[1.67, 0.64, 0.36]	[-1.23, -1.98, 1.71]	[0.9, -1.22, -2.06]	[-1.36, 1.63, 1.62]	[1.77, 0.08, 0.37]	[-0.7, 1.36, 1.13]	[1.74, -0.14, -1.08]	[1.03, 2.2, -0.35]	[-0.57, -1.16, -1.68]	[-1.65, 1.89, -1.26]
[-1.68, -0.07, -1.11]	[1.24, -1.87, 0.59]	[1.53, 0.12, 0.33]	[-0.05, -0.61, -0.61]	[1.35, -1.61, -1.2]	[2.42, -0.08, 1.55]	[-1.74, -0.6, -2.32]	[-2.39, -2.46, -2.07]	[-0.64, 0.58, -0.97]	[1.34, 2.36, 0.5]	[0.03, -1.67, -0.89]	[-1.44, -2.49, -1.89]	[-0.08, -0.14, -0.41]	[1.16, 1.04, -2.09]	[-1.87, 0.33, -1.46]
[-2.35, 2.19, -2.13]	[1.5, 0.2, -0.9]	[-0.66, -2.19, 1.94]	[-1.96, 1.27, -1.81]	[-1.73, 0.42, -0.52]	[1.92, 1.01, -0.79]	[2.09, 1.94, 2.03]	[-0.86, -1.69, 0.81]	[-2.11, 2.0, -1.44]	[2.43, 2.47, 1.69]	[-1.98, 1.18, -2.35]	[2.17, 0.05, -1.16]	[-0.93, -1.43, -0.68]	[-0.72, -0.96, 0.55]	[-2.38, 0.83, -2.05]
[-1.53, -1.54, 0.11]	[-1.29, 0.31, -1.01]	[-0.87, -2.46, 1.49]	[-1.38, -0.84, -0.57]	[1.95, -0.66, 0.02]	[1.38, 1.16, 0.79]	[0.58, 2.29, -1.48]	[2.33, -0.29, 0.41]	[-0.03, 1.74, -2.07]	[1.26, 1.75, 2.05]	[2.5, 1.29, -1.6]	[-2.11, 0.33, -1.61]	[-1.64, 1.52, 2.06]	[1.72, 1.86, -1.84]	[2.15, 0.88, -1.62]
[-2.29, 0.0, 0.37]	[-1.46, 0.51, 1.72]	[0.2, -2.16, 1.39]	[2.26, -0.29, 1.28]	[2.0, 0.27, 1.22]	[-0.42, -0.89, 0.26]	[2.49, -2.42, 1.39]	[0.78, 0.29, -1.87]	[-1.57, -1.42, -0.81]	[-2.13, 1.06, 0.15]	[-1.96, 1.06, 1.14]	[-1.66, 2.22, 0.78]	[-1.86, 0.8, -1.71]	[1.24, 0.88, -1.51]	[0.16, 1.4, 0.7]
[-0.98, -0.57, 1.12]	[0.34, 2.49, 1.99]	[0.08, 0.77, 1.07]	[-1.3, 0.48, 1.28]	[-2.18, 1.58, -0.75]	[2.09, -1.11, 0.09]	[-2.44, -0.33, 0.3]	[2.39, -1.43, -2.21]	[-0.53, -0.08, 1.71]	[0.1, -2.02, 1.71]	[1.86, 0.86, -1.52]	[1.69, -1.64, -1.46]	[-2.24, 1.02, 1.47]	[-1.65, 2.0, -1.14]	[-2.2, -1.57, -0.93]
[-1.98, 0.07, -0.19]	[-0.07, -0.82, 0.21]	[-2.01, -2.36, 1.81]	[0.79, -1.04, 0.32]	[-1.79, -0.05, -1.57]	[-1.86, 0.88, 0.74]	[2.1, 1.86, -0.01]	[-1.25, 1.86, 0.83]	[1.58, -2.15, 0.93]	[0.19, 0.4, -2.38]	[0.89, -1.43, -2.22]	[1.66, 0.88, 1.47]	[0.31, -1.49, -1.09]	[1.63, -2.32, -1.26]	[2.26, 1.27, 2.47]
[-0.24, 1.55, -0.6]	[1.57, -1.76, 1.71]	[0.51, 2.46, -0.82]	[-1.03, 1.29, 1.35]	[-1.66, -1.78, -0.34]	[-1.89, 2.39, -0.18]	[-1.37, -0.01, 0.51]	[-1.01, -2.08, -0.15]	[2.16, -1.25, -0.21]	[-0.36, 0.32, 2.14]	[-2.36, -1.49, -2.2]	[-0.08, -0.07, -2.26]	[-1.53, 2.49, -0.5]	[-0.77, 0.3, -1.91]	[0.45, -0.19, 1.67]
[0.77, -0.37, -1.34]	[1.2, 2.02, -1.45]	[0.24, -1.91, 1.48]	[-0.58, -1.13, -0.81]	[-2.05, 0.27, 0.71]	[1.15, -1.55, 1.24]	[-2.03, -2.3, 1.52]	[2.33, -1.28, 0.33]	[1.84, 1.74, -2.26]	[0.24, 1.23, 0.71]	[-1.17, -1.2, 0.78]	[-1.27, 2.08, -0.93]	[0.7, -2.31, -1.58]	[0.27, -0.6, -1.59]	[-0.74, -2.5, -1.22]
