K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.8476915113871636	0.9214285714285715	0.14031484992987167	0.6285714285714286	1.0	0.819850001009239	0.8755330217650886
20	0.8609772256728778	0.9428571428571428	0.13865642092494782	0.6285714285714286	1.0	0.8334647835893975	0.8884896677563584
30	0.8685486542443064	0.9428571428571428	0.13773500583376197	0.6285714285714286	1.0	0.8412190409051569	0.8958782675834563
40	0.8692629399585922	0.9428571428571428	0.13811438122089584	0.6285714285714286	1.0	0.841858050312029	0.8966678296051558
50	0.8694057971014493	0.9428571428571428	0.13821354957390766	0.6285714285714286	1.0	0.8419812303021762	0.8968303639007228
60	0.8718343685300207	0.9428571428571428	0.13817569208145086	0.6285714285714286	1.0	0.8444173134785751	0.8992514235814668
70	0.8728343685300207	0.9428571428571428	0.13857875260609376	0.6285714285714286	1.0	0.8453373375260269	0.9003313995340148
80	0.8728343685300207	0.9428571428571428	0.13857875260609376	0.6285714285714286	1.0	0.8453373375260269	0.9003313995340148
90	0.8728343685300207	0.9428571428571428	0.13857875260609376	0.6285714285714286	1.0	0.8453373375260269	0.9003313995340148
100	0.8728343685300207	0.9428571428571428	0.13857875260609376	0.6285714285714286	1.0	0.8453373375260269	0.9003313995340148
