K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.9645942028985507	0.9714285714285714	0.02464418259511038	0.9130434782608695	1.0	0.9597042624124216	0.9694841433846803
20	0.964592132505176	0.9714285714285714	0.024738078634401257	0.9130434782608695	1.0	0.9596835610077628	0.9695007040025896
30	0.9647349896480332	0.9714285714285714	0.024400246776744874	0.9130434782608695	1.0	0.9598934513204921	0.9695765279755745
40	0.9647349896480332	0.9714285714285714	0.024400246776744874	0.9130434782608695	1.0	0.9598934513204921	0.9695765279755745
50	0.9647349896480332	0.9714285714285714	0.024400246776744874	0.9130434782608695	1.0	0.9598934513204921	0.9695765279755745
60	0.9647349896480332	0.9714285714285714	0.024400246776744874	0.9130434782608695	1.0	0.9598934513204921	0.9695765279755745
70	0.964592132505176	0.9714285714285714	0.024486811771332433	0.9130434782608695	1.0	0.9597334178046681	0.9694508472056842
80	0.964304347826087	0.9714285714285714	0.024833496272543203	0.9130434782608695	1.0	0.9593768433991662	0.9692318522530078
90	0.9644472049689441	0.9714285714285714	0.024832972942580987	0.9130434782608695	1.0	0.9595198043820417	0.9693746055558468
100	0.9644472049689441	0.9714285714285714	0.024832972942580987	0.9130434782608695	1.0	0.9595198043820417	0.9693746055558468
