K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.8169254658385093	0.8785714285714286	0.14675566382573496	0.6285714285714286	1.0	0.7878059582492162	0.8460449734278027
20	0.8287826086956521	0.9130434782608695	0.1495485122350585	0.6285714285714286	1.0	0.7991089393906817	0.858456278000623
30	0.8312111801242236	0.9130434782608695	0.15149057553478204	0.6285714285714286	1.0	0.8011521633272318	0.861270196921216
40	0.8319254658385093	0.9130434782608695	0.15146949700275822	0.6285714285714286	1.0	0.8018706314795728	0.8619803001974461
50	0.8323540372670808	0.9130434782608695	0.1511936614758051	0.6285714285714286	1.0	0.8023539346609851	0.8623541398731767
60	0.8339254658385093	0.9130434782608695	0.1511388739775053	0.6285714285714286	1.0	0.8039362342606995	0.8639146974163197
70	0.8360683229813665	0.9136645962732919	0.15050677837812348	0.6285714285714286	1.0	0.8062045128838834	0.86593213307885
80	0.8363540372670808	0.9279503105590061	0.15068377725049134	0.6285714285714286	1.0	0.8064551067533026	0.8662529677808593
90	0.8369254658385094	0.9428571428571428	0.1509809104340319	0.6285714285714286	1.0	0.8069675776547676	0.8668833540222516
100	0.8369254658385094	0.9428571428571428	0.1509809104340319	0.6285714285714286	1.0	0.8069675776547676	0.8668833540222516
