K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.8546666666666667	0.9428571428571428	0.1520218529255069	0.6285714285714286	1.0	0.8245022329092118	0.8848311004241218
20	0.8549523809523809	0.9428571428571428	0.15225662287653852	0.6285714285714286	1.0	0.8247413637432719	0.8851633981614904
30	0.8549523809523809	0.9428571428571428	0.15225662287653852	0.6285714285714286	1.0	0.8247413637432719	0.8851633981614904
40	0.8548095238095238	0.9428571428571428	0.15213935093407882	0.6285714285714286	1.0	0.8246217758980311	0.8849972717210167
50	0.8546666666666667	0.9428571428571428	0.15203541241490476	0.6285714285714286	1.0	0.8244995424123399	0.8848337909209935
60	0.8545238095238096	0.9428571428571428	0.1519448346813758	0.6285714285714286	1.0	0.8243746578569127	0.8846729611907067
70	0.8546666666666667	0.9428571428571428	0.15204897069508855	0.6285714285714286	1.0	0.8244968521554025	0.8848364811779309
80	0.8546666666666667	0.9428571428571428	0.15204897069508855	0.6285714285714286	1.0	0.8244968521554025	0.8848364811779309
90	0.8546666666666667	0.9428571428571428	0.15204897069508855	0.6285714285714286	1.0	0.8244968521554025	0.8848364811779309
100	0.8546666666666667	0.9428571428571428	0.15204897069508855	0.6285714285714286	1.0	0.8244968521554025	0.8848364811779309
