K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
20	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
30	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
40	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
50	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
60	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
70	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
80	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
90	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
100	0.955407867494824	0.9714285714285714	0.06058129082605562	0.6285714285714286	1.0	0.9433872250746905	0.9674285099149579
