Reflection: 0
Expansion: 0
OuterContraction: 4
InContraction: 0
Shrink: 96
K_max	Best Sigma	Accuracy
10	0.9271212203372639	0.9650238473767886
20	0.9271212203372639	0.9650238473767886
30	0.9271212203372639	0.9650238473767886
40	0.9271212203372639	0.9650238473767886
50	0.9271212203372639	0.9650238473767886
60	0.9271212203372639	0.9650238473767886
70	0.9271212203372639	0.9650238473767886
80	0.9271212203372639	0.9650238473767886
90	0.9271212203372639	0.9650238473767886
100	0.9271212203372639	0.9650238473767886
---------
10	0.9271212203372639	0.9857142857142858
20	0.9271212203372639	0.9857142857142858
30	0.9271212203372639	0.9857142857142858
40	0.9271212203372639	0.9857142857142858
50	0.9271212203372639	0.9857142857142858
60	0.9271212203372639	0.9857142857142858
70	0.9271212203372639	0.9857142857142858
80	0.9271212203372639	0.9857142857142858
90	0.9271212203372639	0.9857142857142858
100	0.9271212203372639	0.9857142857142858
