Reflection: 0
Expansion: 0
OuterContraction: 2
InContraction: 0
Shrink: 98
K_max	Best Sigma	Accuracy
10	0.6709530667189771	0.9618441971383148
20	0.6709530667189771	0.9618441971383148
30	0.6709530667189771	0.9618441971383148
40	0.6709530667189771	0.9618441971383148
50	0.6709530667189771	0.9618441971383148
60	0.6709530667189771	0.9618441971383148
70	0.6709530667189771	0.9618441971383148
80	0.6709530667189771	0.9618441971383148
90	0.6709530667189771	0.9618441971383148
100	0.6709530667189771	0.9618441971383148
---------
10	0.6709530667189771	0.9714285714285714
20	0.6709530667189771	0.9714285714285714
30	0.6709530667189771	0.9714285714285714
40	0.6709530667189771	0.9714285714285714
50	0.6709530667189771	0.9714285714285714
60	0.6709530667189771	0.9714285714285714
70	0.6709530667189771	0.9714285714285714
80	0.6709530667189771	0.9714285714285714
90	0.6709530667189771	0.9714285714285714
100	0.6709530667189771	0.9714285714285714
