[-0.11, 1.66, 0.59]	[-1.36, 1.15, 2.28]	[1.5, -0.78, 2.19]	[-0.04, 1.29, -0.93]	[-1.15, 1.47, -1.0]	[-0.06, -0.61, -2.5]	[-1.21, -2.49, 2.06]	[-1.99, -0.44, -0.14]	[0.73, 0.7, -0.72]
[1.3, 0.75, -2.19]	[-1.54, 0.06, 1.99]	[-0.69, 1.33, 0.84]	[-1.88, 2.12, -1.46]	[1.57, 2.07, 0.47]	[-2.42, -1.97, 0.39]	[-1.63, 0.32, -2.27]	[-0.96, 0.22, -2.18]	[-0.04, 2.28, -0.82]
[1.09, -1.56, -0.48]	[-1.81, 0.91, -0.22]	[0.63, -1.12, 0.04]	[-1.06, -0.56, -1.03]	[-0.21, 2.31, -1.97]	[1.75, 2.25, -2.39]	[-1.82, -2.27, 1.08]	[0.12, -0.12, -1.1]	[0.43, 2.25, -1.93]
[1.89, -2.5, -1.95]	[-0.13, -0.39, -0.92]	[-1.83, -0.89, 1.92]	[-2.45, 2.28, 1.15]	[-1.56, 1.31, -2.45]	[0.4, -2.19, -0.98]	[-2.34, 2.29, -1.71]	[-1.07, 0.4, 2.49]	[0.03, 1.29, -1.31]
[-2.43, 1.11, 0.21]	[0.54, -0.47, -2.31]	[-1.87, -2.33, 1.21]	[0.2, 0.05, -2.32]	[-0.89, 2.36, -0.55]	[1.35, -1.37, 0.23]	[0.67, -2.01, 1.22]	[-0.86, 1.0, -2.09]	[-2.25, 1.16, 1.22]
[-0.43, -0.06, 0.18]	[-1.22, 1.26, -2.25]	[1.66, 1.14, 0.09]	[1.85, 0.72, -1.86]	[1.74, -2.37, 0.47]	[2.46, -1.3, 1.41]	[1.02, -0.31, 2.02]	[1.84, 1.62, -2.27]	[0.09, -0.47, 1.83]
[-1.8, -1.03, 0.19]	[2.39, 0.14, -2.5]	[0.45, -0.19, 1.45]	[0.1, 1.17, 1.17]	[-0.44, -0.37, 0.37]	[-2.24, 0.08, 1.43]	[2.18, 1.35, -1.25]	[-0.17, 0.79, 2.5]	[-1.47, 2.35, -1.89]
[-1.22, -2.25, 0.86]	[-2.08, 0.81, -0.9]	[2.2, -2.46, 1.78]	[-0.45, 1.93, 1.7]	[-2.08, -1.46, -2.17]	[-2.39, -1.08, 2.33]	[-1.57, 1.1, -2.48]	[-1.81, -1.14, 2.37]	[-0.25, -1.03, 0.04]
[-1.43, 0.73, 1.19]	[-1.05, -0.32, -2.22]	[-0.5, -1.59, 1.68]	[1.81, 1.31, -2.21]	[-1.0, 2.35, 0.09]	[0.0, 1.08, 0.34]	[2.47, -2.44, -1.62]	[1.55, -1.03, -1.88]	[-1.57, 2.31, 1.37]
[1.48, 1.04, 2.3]	[-1.95, -0.31, 0.58]	[-0.96, -0.21, 1.32]	[-1.86, 0.2, 2.13]	[0.7, 1.42, 1.1]	[-0.56, -2.44, 0.28]	[-0.76, 1.35, -1.25]	[-1.19, -0.06, 2.27]	[-0.34, 0.54, -1.88]
