[1.86, -0.14, 0.02]	[-0.09, 1.27, -0.71]	[-1.65, 1.21, -1.26]	[0.91, 1.46, -1.89]	[-1.66, 1.54, -2.47]	[-0.68, 1.66, -2.19]	[1.24, 1.46, 1.88]	[-1.86, -0.75, -1.39]	[1.88, 1.3, -1.38]
[-2.17, -0.9, -1.47]	[-2.26, 2.25, 1.43]	[-2.24, 0.37, -1.6]	[-0.77, 1.72, 2.47]	[-0.63, 1.38, -1.4]	[-1.81, -0.31, 0.97]	[0.08, 1.22, -2.48]	[2.19, 0.6, 0.73]	[1.83, -0.68, 1.11]
[1.18, -1.19, 0.89]	[0.32, -2.01, -1.39]	[2.5, -0.86, 0.44]	[2.37, 0.56, 0.76]	[-1.4, 0.78, 2.24]	[0.84, 2.32, -0.75]	[-0.82, 0.16, 1.7]	[0.91, 0.66, 2.26]	[2.06, -2.16, -0.93]
[-0.35, 0.24, 1.87]	[1.63, -2.11, 0.82]	[1.51, 1.61, 0.37]	[-1.0, -0.92, -0.59]	[-1.15, 0.84, -0.16]	[0.23, 0.05, -0.29]	[1.56, -1.06, -0.4]	[0.71, -1.57, 0.01]	[-0.01, 0.81, -1.67]
[2.01, 0.55, 2.2]	[0.95, 2.03, 0.53]	[-0.78, -0.82, -0.88]	[-1.37, -0.76, -0.16]	[-2.17, 1.56, 1.33]	[0.76, -1.36, 2.41]	[-0.51, -1.02, 0.71]	[0.05, 0.41, 1.51]	[-0.76, 0.8, 2.35]
[1.68, 2.02, 1.04]	[-2.36, -2.41, 0.1]	[-0.53, 1.64, 1.89]	[-1.41, 1.95, 0.42]	[0.4, -0.9, 2.09]	[1.46, 0.25, 0.7]	[2.17, -1.64, 0.21]	[-2.37, -1.64, 0.74]	[-1.98, -0.61, 0.03]
[-0.06, 1.33, 2.45]	[2.18, 0.71, -1.55]	[-0.44, 0.51, 0.04]	[0.81, 1.01, 1.28]	[2.26, 2.03, 1.49]	[1.22, 1.65, -1.87]	[-2.29, -0.4, -0.51]	[1.42, 0.34, 1.36]	[-2.33, -2.43, 1.95]
[-0.32, -1.76, 1.93]	[-2.23, 0.53, 1.24]	[-1.04, 2.0, -0.17]	[1.59, -0.45, -1.92]	[1.52, -2.37, 0.06]	[0.47, 1.88, 0.42]	[-1.59, -2.27, -1.37]	[-1.35, 2.31, -0.05]	[-1.74, 1.43, 2.39]
[2.12, 0.19, 0.07]	[0.92, -1.79, 2.29]	[-2.36, -0.45, -0.31]	[2.23, -1.49, -0.83]	[-1.37, 1.08, 1.73]	[0.06, -0.21, -0.28]	[0.45, 1.03, -1.24]	[0.86, -0.49, -0.15]	[1.2, 2.05, -1.52]
[-1.68, 0.54, -1.99]	[1.42, -0.94, 1.17]	[-2.25, -0.7, 1.1]	[-2.09, 0.3, -2.35]	[-1.12, -0.21, 1.14]	[2.3, -2.17, -0.26]	[-2.46, -0.11, -1.27]	[2.1, -0.67, -2.04]	[-0.25, 2.09, 0.64]
