[-0.37, 1.94, 0.76]	[-0.32, -2.24, -2.43]	[0.59, -0.79, 0.59]	[-1.95, 0.01, -0.99]
[0.69, 1.09, 0.18]	[0.12, 0.68, -0.06]	[-1.53, 1.53, -0.82]	[-1.38, 1.06, -0.61]
[1.86, -2.27, -2.39]	[1.65, 0.64, -1.73]	[-1.78, 1.48, -0.82]	[0.21, -1.42, 0.46]
[-1.17, -1.3, -1.17]	[-1.14, 0.75, 1.54]	[0.1, -0.72, 2.06]	[-1.97, 0.46, 1.45]
[0.26, 1.07, 1.45]	[-1.49, -2.41, -1.08]	[-2.15, 1.2, -2.11]	[-2.25, 1.68, -0.27]
[0.67, 2.35, 1.96]	[-0.57, 1.76, 0.55]	[-0.01, -1.25, -0.07]	[0.86, 1.84, 0.1]
[1.52, -1.88, 1.98]	[0.36, -1.06, 1.68]	[-1.36, 2.4, 1.09]	[0.48, 0.92, -0.33]
[1.16, 0.45, -0.31]	[1.03, -1.46, 1.35]	[1.14, -1.05, -1.68]	[-0.66, 2.08, 1.8]
[2.27, 1.13, 1.33]	[-1.74, 0.58, 2.42]	[-1.46, -1.67, 2.2]	[-1.64, 1.68, -0.63]
[1.36, 0.54, 0.0]	[0.13, 2.25, 1.98]	[0.16, -1.48, -1.03]	[1.6, 1.26, 0.1]
