[-2.35, -1.01, 2.17]	[-1.7, 0.89, 2.07]	[0.5, 0.33, 1.54]	[0.94, 0.58, -1.87]
[-0.57, -0.29, -0.32]	[-0.48, -1.0, -2.41]	[-1.31, -2.33, 1.2]	[1.88, 2.06, 0.88]
[-1.37, -2.31, -0.64]	[-1.2, 0.6, 0.67]	[-1.51, 0.42, -1.22]	[-1.18, 1.23, 2.12]
[1.11, -1.14, -0.31]	[1.85, -0.59, -1.88]	[1.21, 1.37, -1.71]	[-0.1, -1.02, 0.41]
[2.14, 1.48, -0.61]	[0.42, -2.29, 0.23]	[-1.71, -1.04, -0.22]	[1.03, 0.68, -0.16]
[-0.98, 0.68, 2.22]	[-2.16, 1.79, -0.86]	[-0.9, -2.05, -1.89]	[-2.07, -1.24, -1.48]
[-1.88, -1.37, 0.01]	[-1.15, -1.51, 1.33]	[1.29, -2.37, -2.44]	[-2.37, 0.73, -2.07]
[0.15, 2.14, -0.08]	[1.63, -1.83, -1.85]	[-2.44, -0.95, -1.73]	[-0.54, -1.63, 1.37]
[1.93, 1.46, 0.57]	[0.87, -2.17, 2.27]	[-0.24, 0.31, -0.31]	[0.43, 2.36, -2.04]
[1.96, 1.73, -0.62]	[-1.74, 0.15, 1.78]	[-0.76, -2.07, -1.61]	[2.4, 1.79, -1.06]
