[-0.36, 1.03, 1.26]	[0.85, -1.62, -0.72]	[-1.96, 0.16, 0.05]	[1.95, 1.4, -1.49]
[1.05, 2.36, -0.33]	[-1.37, -0.01, -1.53]	[-1.03, -0.68, -0.29]	[0.16, -2.13, -0.53]
[-1.25, 2.39, 1.91]	[1.48, 1.26, -1.5]	[-1.46, 1.24, 2.42]	[0.8, -1.71, -1.2]
[-0.76, -1.26, 0.0]	[0.41, 1.94, 1.97]	[0.93, 1.56, 0.73]	[1.93, -1.07, 1.54]
[2.32, -1.05, 1.11]	[-0.53, -0.19, 2.23]	[-1.84, -0.14, -0.94]	[-0.39, -0.67, -0.47]
[-0.3, -2.07, -1.41]	[2.3, 1.0, -0.6]	[2.38, 0.3, -0.52]	[-1.78, 0.27, 1.72]
[-2.17, -0.57, 0.59]	[1.5, -1.31, -0.71]	[2.19, 1.11, -1.63]	[1.03, 0.68, 1.05]
[-2.34, 2.11, -0.63]	[-1.1, 1.69, 0.35]	[0.17, 1.89, 0.22]	[0.11, -2.22, -0.21]
[2.0, -2.49, -1.71]	[-2.43, -1.14, -2.2]	[0.85, -2.12, 1.4]	[2.18, -0.97, -0.5]
[2.26, -1.09, 1.42]	[-2.4, -2.12, -0.61]	[0.57, 1.92, 1.59]	[1.89, -0.69, 1.15]
