[-1.74, 0.75, 0.91]	[-0.98, 0.88, 0.71]	[-1.68, -1.7, 0.75]	[1.64, 2.07, -2.04]
[1.38, -2.26, 0.8]	[1.59, -2.38, 1.96]	[-2.06, 1.77, -0.19]	[2.01, -0.87, -2.09]
[-0.6, 0.94, -2.18]	[2.15, -2.42, 1.57]	[-1.76, -1.54, 1.86]	[-1.88, 1.04, -0.32]
[1.96, 1.42, -0.73]	[-0.81, 1.62, 0.1]	[1.86, 0.36, -1.59]	[1.15, -2.26, 0.58]
[1.62, -0.48, 1.79]	[-0.98, 0.3, -0.34]	[2.02, 0.51, 1.15]	[-1.78, 1.09, -2.09]
[-0.36, 0.63, 2.01]	[1.25, 1.39, -1.22]	[-1.37, 1.94, -1.65]	[2.37, -1.21, 2.15]
[-0.35, 1.54, -1.39]	[0.36, -1.34, -1.25]	[0.29, -1.93, 0.04]	[0.38, 0.04, -1.21]
[1.63, -1.06, 1.55]	[0.88, 0.96, -0.61]	[0.03, -0.88, 2.08]	[0.45, 0.66, 0.11]
[2.35, 1.94, -1.56]	[1.34, 0.34, 0.59]	[-2.0, -2.33, 1.79]	[1.61, -2.05, 2.27]
[0.75, -2.32, 1.18]	[-2.01, 1.55, 2.26]	[-0.33, -0.73, -0.72]	[-1.34, 1.47, -0.7]
