[0.9, 0.83, -1.58]	[0.47, 2.03, -0.68]	[2.21, 2.41, 2.12]	[0.0, -0.29, 0.04]
[0.8, 1.47, -1.89]	[-0.81, -0.09, 2.41]	[-2.43, -1.05, -1.57]	[1.27, 1.47, -1.99]
[-0.96, -0.94, 1.6]	[0.32, -1.03, -0.36]	[-0.73, -0.38, 1.72]	[0.0, -1.28, 0.23]
[-1.73, -0.68, 2.13]	[1.07, -0.6, -0.63]	[1.87, -0.9, 1.75]	[-0.35, -1.25, 1.42]
[0.69, -0.25, -1.23]	[2.11, -1.12, 1.02]	[0.92, -0.89, 0.27]	[0.24, -1.23, -0.59]
[1.68, -1.88, 1.52]	[0.07, -2.14, -1.65]	[0.8, -1.98, -0.85]	[-1.0, 0.49, -2.34]
[2.11, 1.18, -2.03]	[0.85, -1.38, 0.26]	[-1.97, 1.74, 1.37]	[-1.31, 1.61, 0.74]
[-0.42, -1.45, -2.02]	[-1.37, 2.17, 1.32]	[0.63, -1.46, 1.67]	[0.55, 0.36, 2.48]
[-1.25, 0.99, 1.33]	[-0.43, 2.24, 1.11]	[-1.04, 0.5, -2.15]	[0.01, 0.65, -1.22]
[1.0, -1.55, -1.84]	[1.18, 2.44, 2.0]	[-0.87, 0.95, 0.53]	[-0.58, 1.83, -1.95]
