[0.27, 0.15, -1.03]	[-1.44, -1.05, -0.24]	[0.02, 0.32, -0.64]	[2.1, 2.09, -2.49]
[-0.49, 0.37, 0.29]	[2.09, -0.22, 0.28]	[1.02, 0.88, -1.37]	[-2.43, -0.59, -0.06]
[-1.76, 1.47, -1.04]	[1.6, -1.83, 0.91]	[-0.68, 1.85, 0.4]	[2.43, 2.5, -1.87]
[1.14, 1.45, -1.88]	[2.31, -1.15, 0.11]	[1.86, 1.62, 1.81]	[0.73, 1.35, 1.46]
[0.1, 0.52, -1.04]	[-1.81, -2.3, -2.11]	[-2.3, 0.82, -2.26]	[0.89, 1.61, 0.47]
[1.53, 1.26, -0.14]	[0.4, -2.33, -1.35]	[-0.44, -1.51, 1.13]	[0.15, 0.98, -2.11]
[-0.99, -0.77, -1.51]	[-0.69, -1.95, 1.5]	[1.92, 1.41, 1.21]	[0.62, 2.0, 1.45]
[-1.0, -0.31, -1.36]	[-0.47, -0.54, 1.17]	[-1.47, 0.57, 1.99]	[-1.41, -1.5, 1.75]
[2.44, 2.11, -1.49]	[-1.77, 2.14, -1.28]	[-1.91, -1.79, 0.89]	[-0.02, 2.33, -0.22]
[1.72, -1.38, -1.99]	[0.43, -1.01, 1.1]	[0.04, -0.32, -0.45]	[0.09, -0.55, -1.56]
