[0.82, 0.71, -2.39]	[2.42, 0.01, -2.29]	[-0.03, -2.01, 1.12]	[-1.95, -0.24, -1.9]	[1.11, -1.0, -2.42]	[1.92, -0.12, -1.3]	[-1.17, 0.66, -0.64]
[0.3, -0.17, -0.38]	[-2.49, -0.58, -1.9]	[-0.73, -0.81, 0.69]	[-1.23, 0.41, -0.09]	[1.34, 2.17, 2.48]	[-0.65, 0.67, -0.23]	[0.12, 1.1, -2.31]
[0.35, -0.04, 1.63]	[-2.19, -1.57, -2.21]	[0.78, 1.56, -1.44]	[0.09, 0.99, -2.08]	[-2.17, 0.78, 0.67]	[-0.28, -1.47, 2.02]	[-1.5, -0.65, 1.6]
[-0.48, -0.81, 0.21]	[1.89, -1.17, 1.68]	[1.76, -1.4, 1.59]	[-0.2, 0.99, 1.16]	[-0.48, -1.57, 1.75]	[2.15, -2.31, -2.08]	[-1.03, -0.14, -0.82]
[0.71, -2.15, -0.31]	[1.82, 2.0, -2.35]	[0.4, 0.77, 2.07]	[-1.04, -0.54, -0.37]	[-2.09, 2.03, -0.34]	[-1.52, 2.17, -2.38]	[-1.7, 0.46, -1.54]
[1.36, -1.5, -0.39]	[-2.17, -2.33, 2.41]	[1.35, -2.2, -1.19]	[2.36, 1.29, 1.2]	[-1.36, 1.81, -0.04]	[0.45, 2.31, 0.22]	[0.98, 0.7, -0.47]
[-1.61, -0.1, -2.15]	[-0.13, -2.37, -0.97]	[-2.14, -0.2, 0.19]	[-1.0, 0.65, 1.6]	[1.51, 0.56, 2.11]	[0.89, -1.09, -2.24]	[1.18, 0.43, 0.12]
[-0.93, -2.18, 2.39]	[-1.88, 1.12, 1.6]	[0.66, 0.06, 0.87]	[2.29, -0.2, -0.33]	[-2.09, -1.09, -2.49]	[0.68, 0.23, 0.67]	[0.24, 2.12, -0.08]
[0.02, -0.71, 0.8]	[1.47, -1.75, -2.48]	[-1.8, -0.34, 1.6]	[-1.03, -1.23, 1.56]	[-2.46, 2.3, -1.71]	[-1.08, -1.46, -1.21]	[-1.58, 0.96, 0.52]
[-2.18, -1.08, 0.31]	[-2.2, -1.85, -1.07]	[0.75, 0.22, 0.58]	[-1.25, -2.03, 1.89]	[1.26, -2.2, -0.57]	[0.46, -1.32, 1.48]	[1.11, -1.99, -1.69]
