[1.07, 1.31, -0.1]	[0.79, 1.98, -0.54]	[-1.06, 1.77, 1.91]	[1.61, -2.5, -0.24]	[1.75, -2.25, 0.86]	[1.8, -2.3, -0.3]	[2.35, -1.14, 1.91]
[0.23, -0.91, 2.17]	[0.92, 1.82, -0.97]	[-0.31, -0.66, -2.21]	[-2.38, -0.21, 1.84]	[-1.02, 0.77, -1.05]	[-0.41, -0.61, 1.14]	[2.4, -1.93, 0.02]
[2.09, -1.83, -0.01]	[-2.34, 2.48, -1.05]	[1.45, 0.62, 1.72]	[1.91, 1.99, -0.45]	[0.03, -2.24, 0.2]	[-1.3, -1.92, 0.82]	[0.64, 0.77, -0.65]
[1.79, 2.06, -1.63]	[-0.62, 1.86, -1.34]	[1.87, -1.68, 2.33]	[2.35, 1.39, -0.83]	[-0.26, 0.35, 0.95]	[-1.53, -1.14, 0.1]	[1.48, -0.73, -0.43]
[1.05, -0.46, -0.9]	[1.9, 0.52, -2.31]	[-2.49, 1.46, 0.83]	[0.71, -1.4, -1.16]	[1.12, -1.14, 1.79]	[-1.78, -0.08, -2.3]	[1.74, -1.45, -2.01]
[-1.82, -0.94, -2.31]	[1.9, 2.03, 0.01]	[-2.35, 2.2, -1.15]	[0.22, 2.17, -0.92]	[0.01, 2.26, 0.11]	[1.21, -0.1, -0.25]	[1.84, 1.7, -1.39]
[-0.23, -1.19, 1.52]	[-2.11, 2.28, 2.46]	[0.96, -0.68, 2.2]	[-0.01, 1.28, -1.32]	[-1.93, -1.82, 1.31]	[2.27, 0.01, 0.7]	[0.85, -1.11, 1.79]
[2.28, -2.11, 1.61]	[-1.59, -1.54, 1.82]	[1.02, 1.11, 2.32]	[0.86, 0.49, 1.3]	[1.57, 2.29, 1.01]	[-2.42, -0.01, 2.09]	[-2.32, -0.13, -1.11]
[1.53, 1.81, -1.99]	[-0.23, 0.12, -1.26]	[2.41, 2.01, -1.55]	[0.69, 1.86, -1.27]	[1.02, -1.58, 1.1]	[-0.27, 0.68, 0.2]	[-1.45, -1.46, -1.52]
[-2.3, 0.52, -0.79]	[0.64, 1.54, 0.79]	[-2.34, -0.49, -0.6]	[-1.63, -0.03, -2.35]	[-0.16, -0.64, -1.48]	[-0.38, 0.52, 0.8]	[1.34, 1.4, -1.57]
