[-2.29, -1.86, -2.46]	[1.0, 0.33, -1.74]	[1.51, 0.26, -1.02]	[-1.94, -1.29, 2.29]	[-1.43, -2.37, 1.07]	[1.43, -0.14, -0.43]	[-0.55, -0.7, 0.47]	[-2.41, 2.14, 1.56]	[-0.3, -0.4, 2.0]	[-2.37, 0.09, -0.85]
[-0.97, -2.44, -0.98]	[-0.29, -0.25, -1.2]	[-2.13, 1.81, 1.8]	[-0.13, 2.11, -0.04]	[-0.59, 2.29, 0.68]	[2.41, -2.07, -2.26]	[-1.73, -0.29, 1.91]	[0.33, -0.41, 1.42]	[-0.28, 0.26, -0.65]	[1.68, 1.43, 0.64]
[-0.01, 0.07, -0.03]	[-0.4, 1.94, 0.1]	[-0.34, -1.78, -1.46]	[-0.73, -1.61, -1.39]	[-2.12, -0.73, -1.89]	[-2.49, -2.48, 0.76]	[0.25, -0.2, -1.69]	[-1.66, 0.65, 0.83]	[-0.56, -0.49, -0.33]	[-2.3, 1.89, -0.28]
[1.42, -0.73, -2.28]	[-0.31, -0.05, -1.81]	[2.18, -1.69, 1.29]	[-1.45, -0.51, -0.56]	[0.89, -2.16, -2.06]	[1.12, 2.33, -1.83]	[1.4, 0.15, -0.38]	[0.08, 1.7, 2.35]	[-2.32, 0.39, 2.48]	[-0.89, -1.74, -0.32]
[-0.04, -0.76, 0.36]	[-2.32, -1.99, 1.54]	[-2.49, 0.94, 1.65]	[2.24, -0.15, 1.24]	[-1.15, -1.32, 1.24]	[-1.66, 0.03, 2.1]	[-2.41, -0.39, 1.34]	[-1.27, 1.8, 1.34]	[-0.72, -1.28, -0.84]	[-0.55, 0.73, -1.56]
[-1.82, 0.04, 1.72]	[-1.58, -2.44, 0.29]	[0.84, 1.24, 2.45]	[0.86, 1.44, 0.07]	[2.16, 2.11, 1.45]	[2.31, 2.36, -0.45]	[-1.49, -0.73, -2.26]	[0.41, -0.35, 1.0]	[-1.58, 0.72, -0.43]	[-1.8, -1.09, -2.24]
[1.08, 0.5, -1.38]	[1.27, -1.24, -1.18]	[2.45, -0.82, 0.95]	[1.47, -0.54, 1.07]	[-2.3, 2.02, -2.26]	[-0.15, 2.11, 1.07]	[-1.05, -0.09, -1.71]	[1.56, -1.15, -2.27]	[-1.3, -2.13, 1.68]	[0.76, -1.74, 0.87]
[1.2, -1.98, -1.59]	[1.03, 0.85, -0.3]	[-1.53, -0.62, 2.16]	[-2.0, -1.86, -0.4]	[-0.95, 0.66, 1.63]	[2.03, 1.6, -0.19]	[-1.39, 0.17, -1.92]	[-1.2, 0.37, -1.78]	[-1.48, -0.72, -2.13]	[1.98, -0.18, -0.33]
[0.98, -0.8, -1.85]	[-0.95, 0.29, -1.0]	[0.53, -1.8, 2.24]	[-1.36, 1.31, 0.54]	[-1.56, -0.66, -0.06]	[-1.58, 1.2, 1.16]	[2.27, -1.46, -1.6]	[0.12, -0.18, 1.79]	[-1.65, -2.09, 1.59]	[-0.47, 1.48, 1.53]
[-0.7, 1.76, 1.65]	[-1.74, 0.55, 0.17]	[2.02, -1.9, 0.37]	[1.62, 1.64, -2.38]	[0.28, -0.14, 2.13]	[1.68, 0.16, -0.13]	[-1.25, 1.87, 1.31]	[-1.36, 0.24, -1.11]	[-0.91, 0.64, -2.24]	[-1.53, 0.56, -1.7]
