K_max	Best Sigma	Accuracy
10	0.6482650725431487	0.9650238473767886
20	0.6482650725431487	0.9650238473767886
30	0.8795661833801433	0.9682034976152624
40	0.8795661833801433	0.9682034976152624
50	0.8795661833801433	0.9682034976152624
60	0.9173633573190338	0.9697933227344993
70	0.9173633573190338	0.9697933227344993
80	0.9173633573190338	0.9697933227344993
90	0.9173633573190338	0.9697933227344993
100	0.9173633573190338	0.9697933227344993
---------
10	0.6482650725431487	0.9285714285714286
20	0.6482650725431487	0.9285714285714286
30	0.8795661833801433	0.9428571428571428
40	0.8795661833801433	0.9428571428571428
50	0.8795661833801433	0.9428571428571428
60	0.9173633573190338	0.9428571428571428
70	0.9173633573190338	0.9428571428571428
80	0.9173633573190338	0.9428571428571428
90	0.9173633573190338	0.9428571428571428
100	0.9173633573190338	0.9428571428571428
