[0.31, -0.6, 1.21]	[1.27, -1.69, -0.14]	[-0.06, -2.47, -0.2]	[-0.88, -2.23, 0.72]	[-2.25, -1.11, 1.35]	[-1.63, -1.06, 1.19]	[0.56, -1.43, -0.12]	[-1.64, -0.24, 2.18]	[2.37, 2.33, 1.61]	[1.47, -2.09, -1.01]
[1.43, 1.49, 2.41]	[2.37, -2.27, -0.78]	[0.81, 1.51, -2.1]	[-1.97, 1.93, 2.21]	[-0.24, -0.82, -0.28]	[1.08, 0.05, -0.71]	[-0.04, -1.56, 2.41]	[1.14, -0.29, -0.38]	[0.06, 0.97, -0.27]	[-0.09, -1.75, 0.8]
[-0.16, 2.18, 1.43]	[0.67, -1.46, 1.79]	[1.68, 0.71, -0.53]	[-1.67, -0.17, 0.16]	[-0.28, 0.54, -1.81]	[0.45, 0.63, -2.11]	[0.48, -0.36, 1.81]	[-1.32, -2.45, -1.25]	[-1.04, -1.44, 1.3]	[-2.05, 2.01, -1.55]
[0.49, 1.99, -0.26]	[2.07, -0.1, 1.65]	[0.54, -0.78, -1.81]	[1.81, 1.32, -2.28]	[-2.07, -0.53, -1.07]	[-0.5, -0.8, 0.7]	[2.4, 1.32, -2.29]	[-0.23, -2.23, 0.3]	[2.27, 2.47, 1.34]	[-0.2, -1.16, 1.2]
[0.99, 0.28, 1.35]	[-0.37, -1.59, -0.53]	[1.57, 1.33, -0.39]	[2.19, -0.27, 0.63]	[-0.69, 1.6, -2.28]	[-0.44, -2.15, 1.65]	[1.03, 2.29, 1.13]	[2.24, 0.18, -0.92]	[-2.04, -0.21, 1.88]	[-0.17, 1.34, -1.34]
[-1.54, 0.75, -0.37]	[-0.77, -0.95, 1.06]	[-0.96, -0.29, -0.61]	[0.64, -1.3, -1.22]	[-0.32, -2.36, 1.29]	[2.01, -0.71, -1.89]	[-1.12, 0.33, -1.02]	[-1.08, 1.66, -0.87]	[2.24, 1.53, -0.56]	[-0.56, -1.48, 1.58]
[-0.42, -1.06, 0.83]	[0.69, -2.45, -0.41]	[-1.3, -0.7, -1.22]	[1.2, 1.85, -0.77]	[1.38, 0.64, -2.26]	[1.4, -1.45, 1.0]	[-2.45, 0.7, -1.69]	[1.65, 0.88, 0.66]	[-1.03, 2.32, -1.01]	[1.4, -0.9, -1.48]
[0.01, 0.94, -1.91]	[-1.6, -1.73, 2.15]	[-1.27, -1.87, 1.68]	[0.74, 0.75, 0.66]	[-1.43, 0.88, 0.63]	[1.32, -1.39, 0.93]	[1.29, 0.42, 0.12]	[-0.33, -0.22, -0.72]	[-0.5, -2.49, 1.62]	[-2.24, -0.82, 1.16]
[1.16, -0.17, 1.47]	[0.57, 1.04, -2.01]	[1.23, -1.14, 0.55]	[1.37, 0.85, 0.73]	[-0.91, 1.07, -0.57]	[2.48, -1.23, 2.09]	[-1.75, 2.4, -0.9]	[-2.47, -1.62, 1.84]	[-0.51, 1.57, -1.53]	[0.59, 1.04, 1.11]
[2.11, 2.25, 1.79]	[-0.77, -0.31, -1.56]	[-1.03, 0.28, -2.27]	[-1.03, -1.35, 1.04]	[-0.02, 0.7, 1.7]	[-1.59, 0.78, 0.98]	[2.01, -0.47, -0.07]	[-0.29, -2.16, 2.31]	[-1.9, -2.43, 1.37]	[0.21, 0.94, -1.13]
