[-1.57, 1.04, 2.23]	[-0.03, 0.33, -2.06]	[-0.96, 2.35, 1.5]	[-1.12, 1.23, -0.06]	[0.48, 1.7, 1.57]	[0.55, 1.33, -0.2]	[1.7, 1.72, 1.12]	[1.16, 0.83, 1.47]	[-0.23, -2.45, -0.33]	[1.79, 1.34, 2.36]
[-2.45, -1.02, -0.42]	[-0.16, 2.33, 2.0]	[-1.76, -0.24, 1.09]	[-0.12, 0.68, 1.12]	[-0.52, -1.67, -0.19]	[-1.56, 2.22, 0.72]	[0.59, -0.8, -0.68]	[-1.45, -0.11, -1.0]	[-1.25, -1.11, -1.97]	[1.58, -0.15, 1.87]
[0.61, -0.42, -1.57]	[-0.46, -1.16, -0.33]	[-1.14, 2.04, 2.4]	[1.68, 2.2, 1.48]	[0.23, -2.38, -1.01]	[-1.42, -0.3, -2.24]	[0.96, -0.4, 1.81]	[-0.12, -2.16, -0.29]	[-1.37, -1.36, -2.48]	[1.13, 1.36, -1.25]
[2.37, -2.16, -0.51]	[-0.26, -1.74, 1.48]	[-0.05, 2.02, -1.01]	[0.03, -0.69, -1.64]	[-2.1, 1.6, -0.35]	[1.28, 2.18, 0.5]	[-2.15, -1.2, 0.41]	[0.24, 0.67, -1.15]	[-0.12, -1.49, -1.21]	[0.91, 1.14, 1.75]
[-2.24, 2.02, -0.23]	[0.8, 0.17, -1.0]	[1.04, -0.02, 0.27]	[2.01, -0.51, -2.32]	[-1.33, -1.69, 1.86]	[1.53, 1.96, -1.54]	[1.97, 0.49, 1.34]	[-0.49, -2.19, 0.74]	[0.23, -1.15, -0.52]	[-2.41, -1.23, -1.93]
[1.89, -1.72, 1.91]	[-1.83, 1.75, 2.46]	[0.74, 1.89, -1.46]	[-1.04, 2.48, 1.38]	[-0.64, 1.93, -1.29]	[1.22, -0.49, -1.7]	[-1.89, 2.19, -2.11]	[-0.17, -0.75, 0.72]	[2.24, 1.94, 0.95]	[1.46, -1.5, 0.52]
[-0.65, -1.12, -1.07]	[2.21, 1.8, 0.08]	[-0.11, -0.5, 1.1]	[1.39, 0.35, 1.1]	[1.51, 1.3, 0.0]	[0.66, -1.91, -2.43]	[1.56, 0.54, 1.24]	[-2.36, 0.42, 0.74]	[-0.18, 2.09, 0.02]	[2.3, 0.08, -1.73]
[0.63, 1.82, 0.4]	[0.48, 2.45, 1.34]	[0.92, 1.53, -0.62]	[0.75, -0.53, -0.24]	[-1.92, -2.48, -2.49]	[-0.53, 2.13, 0.23]	[1.41, 1.36, 1.22]	[-1.67, -1.95, -1.15]	[-1.07, -1.52, -1.12]	[1.91, -2.17, 2.45]
[-0.59, 1.39, 0.99]	[2.2, -1.38, 0.37]	[-1.64, -1.1, 1.43]	[2.3, 1.23, -0.8]	[2.18, -1.04, -2.47]	[-1.51, -1.27, 0.07]	[-1.78, 1.13, -0.61]	[-2.13, 0.47, -0.17]	[0.41, -0.8, -2.13]	[0.5, 1.14, 0.46]
[1.88, -0.25, -0.86]	[1.59, 1.43, -2.34]	[-2.19, -1.1, 2.4]	[-1.09, 0.1, -1.35]	[0.0, 0.73, -2.24]	[1.48, -2.45, -0.43]	[1.96, -1.92, 1.72]	[-0.29, 1.55, 0.37]	[0.75, -0.9, 0.23]	[0.97, -2.14, -0.94]
