K_max	Best Sigma	Accuracy
10	0.7360033499457664	0.9698412698412698
20	0.8937842333811923	0.9714285714285714
30	0.8937842333811923	0.9714285714285714
40	0.7929220008203227	0.973015873015873
50	0.7929220008203227	0.973015873015873
60	0.7929220008203227	0.973015873015873
70	0.7929220008203227	0.973015873015873
80	0.7929220008203227	0.973015873015873
90	0.7929220008203227	0.973015873015873
100	0.7929220008203227	0.973015873015873
---------
10	0.7360033499457664	0.927536231884058
20	0.8937842333811923	0.9130434782608695
30	0.8937842333811923	0.9130434782608695
40	0.7929220008203227	0.9130434782608695
50	0.7929220008203227	0.9130434782608695
60	0.7929220008203227	0.9130434782608695
70	0.7929220008203227	0.9130434782608695
80	0.7929220008203227	0.9130434782608695
90	0.7929220008203227	0.9130434782608695
100	0.7929220008203227	0.9130434782608695
