K_max	Best Sigma	Accuracy
10	0.6980720004241783	0.9698412698412698
20	0.7653616847800784	0.973015873015873
30	0.7653616847800784	0.973015873015873
40	0.7653616847800784	0.973015873015873
50	0.8236159177157596	0.9746031746031746
60	0.8236159177157596	0.9746031746031746
70	0.8236159177157596	0.9746031746031746
80	0.8236159177157596	0.9746031746031746
90	0.8236159177157596	0.9746031746031746
100	0.8236159177157596	0.9746031746031746
---------
10	0.6980720004241783	0.927536231884058
20	0.7653616847800784	0.9130434782608695
30	0.7653616847800784	0.9130434782608695
40	0.7653616847800784	0.9130434782608695
50	0.8236159177157596	0.9130434782608695
60	0.8236159177157596	0.9130434782608695
70	0.8236159177157596	0.9130434782608695
80	0.8236159177157596	0.9130434782608695
90	0.8236159177157596	0.9130434782608695
100	0.8236159177157596	0.9130434782608695
