K_max	beta	alpha	Best Sigma	Accuracy
10	1	1	0.8433537429605797	0.9618441971383148
10	1	2	-0.7731324901024088	0.9602543720190779
10	5	1	-0.9385269182015551	0.9634340222575517
10	5	2	-1.1101800340637393	0.9570747217806042
10	10	1	-0.9666656421331555	0.9634340222575517
10	10	2	-5.068145207277796	0.6836248012718601
20	1	1	0.9840428982200449	0.9634340222575517
20	1	2	-1.0534167565126065	0.9618441971383148
20	5	1	-0.9385269182015551	0.9634340222575517
20	5	2	-0.9694908788042742	0.9634340222575517
20	10	1	-0.9666656421331555	0.9634340222575517
20	10	2	-2.525449464955549	0.8680445151033387
30	1	1	0.9840428982200449	0.9634340222575517
30	1	2	-1.0534167565126065	0.9618441971383148
30	5	1	-0.9385269182015551	0.9634340222575517
30	5	2	-0.9694908788042742	0.9634340222575517
30	10	1	-0.9666656421331555	0.9634340222575517
30	10	2	-1.5844038438609052	0.9332273449920508
40	1	1	0.9840428982200449	0.9634340222575517
40	1	2	-0.9374443307440863	0.9634340222575517
40	5	1	-0.9385269182015551	0.9634340222575517
40	5	2	-0.9694908788042742	0.9634340222575517
40	10	1	-0.9666656421331555	0.9634340222575517
40	10	2	-0.9470790384998131	0.9634340222575517
50	1	1	0.9840428982200449	0.9634340222575517
50	1	2	-0.9374443307440863	0.9634340222575517
50	5	1	-0.9385269182015551	0.9634340222575517
50	5	2	-0.9694908788042742	0.9634340222575517
50	10	1	-0.9666656421331555	0.9634340222575517
50	10	2	-0.9470790384998131	0.9634340222575517
60	1	1	0.9840428982200449	0.9634340222575517
60	1	2	-0.9374443307440863	0.9634340222575517
60	5	1	-0.9385269182015551	0.9634340222575517
60	5	2	-0.9694908788042742	0.9634340222575517
60	10	1	-0.9666656421331555	0.9634340222575517
60	10	2	-0.9470790384998131	0.9634340222575517
70	1	1	0.9840428982200449	0.9634340222575517
70	1	2	-0.9374443307440863	0.9634340222575517
70	5	1	-0.9385269182015551	0.9634340222575517
70	5	2	-0.9694908788042742	0.9634340222575517
70	10	1	-0.9666656421331555	0.9634340222575517
70	10	2	-0.9470790384998131	0.9634340222575517
80	1	1	0.9840428982200449	0.9634340222575517
80	1	2	-0.9374443307440863	0.9634340222575517
80	5	1	-0.9385269182015551	0.9634340222575517
80	5	2	-0.9694908788042742	0.9634340222575517
80	10	1	-0.9666656421331555	0.9634340222575517
80	10	2	-0.9470790384998131	0.9634340222575517
90	1	1	0.9840428982200449	0.9634340222575517
90	1	2	-0.9374443307440863	0.9634340222575517
90	5	1	-0.9385269182015551	0.9634340222575517
90	5	2	-0.9694908788042742	0.9634340222575517
90	10	1	-0.9666656421331555	0.9634340222575517
90	10	2	-0.9470790384998131	0.9634340222575517
100	1	1	0.9840428982200449	0.9634340222575517
100	1	2	-0.9374443307440863	0.9634340222575517
100	5	1	-0.9385269182015551	0.9634340222575517
