[-0.33, -2.17, 1.55]	[-0.28, 1.99, -2.05]	[0.23, -1.66, 0.05]	[0.68, 0.59, 1.33]	[-2.38, -1.18, 0.22]	[-0.53, -0.64, 2.18]	[0.87, 1.15, -2.42]	[0.07, -1.08, -0.7]
[0.58, 1.67, -0.54]	[-1.44, 1.86, -2.36]	[-1.81, -0.04, 1.23]	[1.37, 0.81, -0.95]	[-1.06, 0.1, -1.23]	[1.79, -1.91, -0.13]	[-0.14, -0.59, -0.77]	[-2.19, -0.62, 0.64]
[-2.4, 1.64, 0.61]	[0.09, 0.14, 1.32]	[0.4, 2.28, 1.21]	[-0.42, 0.96, -1.31]	[-0.6, -2.36, -0.44]	[0.85, 2.36, -0.47]	[2.34, 0.7, -0.19]	[1.01, 0.4, 2.46]
[-0.58, -1.25, 0.6]	[-0.5, 1.9, 0.51]	[0.42, 2.25, 1.65]	[-1.8, 2.11, -0.67]	[-1.63, -0.72, -0.6]	[-0.77, -1.31, 1.11]	[-0.74, -0.78, -2.16]	[-1.71, -0.4, 0.97]
[-0.33, 2.38, -1.9]	[-0.72, -0.28, 2.31]	[-0.8, 0.64, -1.65]	[1.22, 0.53, -0.39]	[1.23, -1.53, 2.05]	[0.85, -0.71, 1.19]	[-1.84, 2.43, 2.09]	[-1.65, -2.08, 0.96]
[2.1, 0.5, -0.61]	[-1.3, -2.0, -0.78]	[0.31, -0.12, -1.01]	[-1.63, -1.32, -0.66]	[-1.98, -0.92, 0.62]	[-0.56, -0.34, -2.21]	[-0.62, 1.13, -2.12]	[-1.66, -0.52, -1.01]
[-0.5, 1.98, -0.51]	[2.3, 1.94, 1.82]	[1.97, 1.84, 2.36]	[-0.84, 2.08, -1.81]	[0.16, 1.13, -2.43]	[-1.59, 0.9, -0.56]	[-1.87, -2.4, 2.43]	[-2.14, 1.03, 2.33]
[0.49, -0.49, 2.5]	[1.04, 1.48, -1.02]	[1.17, 1.76, -1.87]	[-1.08, 1.34, -0.11]	[0.58, -1.02, 0.13]	[0.89, -0.51, -0.98]	[-0.26, 0.86, -1.59]	[1.54, 2.12, 0.11]
[0.84, 0.06, 0.11]	[-1.44, 1.81, -1.07]	[0.89, -0.18, -2.15]	[1.38, -2.14, 1.74]	[2.28, -2.11, 1.63]	[-0.12, 1.38, -1.92]	[-0.15, 1.4, -0.98]	[-2.2, 1.88, 1.88]
[1.17, -2.28, -2.24]	[1.13, 1.89, 1.32]	[0.52, 1.59, 2.14]	[0.59, -0.07, 1.48]	[0.79, 0.8, -1.16]	[0.39, 1.35, -2.15]	[1.97, 1.07, 1.52]	[0.52, 0.83, -0.73]
