[-0.21, 1.96, -1.57]	[0.44, 0.85, -2.24]	[-1.03, -0.13, 1.31]	[1.4, 0.75, 2.44]	[-1.13, -1.54, 0.11]	[-1.43, -1.59, -0.31]	[-1.22, 0.17, -2.23]	[-0.99, -1.42, 1.09]
[-2.22, 1.75, 1.39]	[-1.28, -2.28, 1.46]	[1.36, -0.12, -1.07]	[1.33, 0.0, -1.84]	[-2.06, -0.6, -1.38]	[2.26, -1.63, -2.28]	[1.64, 0.37, 0.27]	[1.85, -0.06, 1.99]
[-1.59, 0.36, -0.07]	[-1.12, 2.05, 2.0]	[0.14, 0.26, -2.18]	[-0.33, 0.47, 1.24]	[0.96, 2.17, 0.61]	[0.52, 1.88, -2.23]	[1.33, 1.71, -0.37]	[-1.31, -2.13, -1.58]
[-0.17, 2.06, 1.08]	[0.82, 2.43, -1.49]	[-1.05, -1.76, 1.48]	[-1.16, 1.37, -2.1]	[0.37, 0.59, -1.83]	[1.08, 2.21, -0.68]	[-0.77, 0.31, 1.29]	[-1.17, -0.49, -1.79]
[0.98, -2.42, 0.16]	[-0.43, -1.48, -0.96]	[0.39, -1.33, 2.45]	[1.66, -2.41, 1.85]	[-2.14, 1.38, -1.27]	[0.48, 0.45, -0.8]	[-2.27, 0.03, -2.48]	[2.18, 1.82, 1.62]
[0.07, -1.26, 1.88]	[1.65, -0.89, -1.63]	[-2.43, -0.87, -0.22]	[0.5, -1.49, -0.97]	[2.21, -1.42, 0.03]	[-1.32, 1.57, 2.15]	[1.89, -1.0, -0.35]	[-0.03, 1.95, -0.73]
[2.48, 1.8, 0.56]	[-0.09, 1.39, 0.85]	[-1.25, -1.04, -1.01]	[0.61, -1.65, 0.86]	[0.49, 0.0, 2.26]	[-1.85, -0.85, -1.9]	[0.94, -2.17, 1.48]	[-0.2, -1.68, -0.34]
[-1.12, 1.52, 0.02]	[2.37, -0.21, 2.29]	[-2.14, -1.53, -0.84]	[-1.65, 1.47, 0.23]	[-2.41, -1.95, -2.02]	[1.43, -2.11, 1.77]	[0.73, 0.3, -1.14]	[1.78, -2.06, 0.34]
[1.58, -1.78, -0.21]	[0.7, -0.01, -1.6]	[-1.1, 1.67, -0.25]	[-2.29, -1.37, -1.37]	[2.12, -0.97, -2.46]	[-1.62, 1.0, -0.39]	[-0.08, 0.53, 1.71]	[1.3, 0.64, 0.89]
[-1.19, 1.28, -0.97]	[0.66, 0.1, 1.78]	[-1.6, -1.9, -0.8]	[2.1, 1.06, -0.38]	[0.23, 0.26, -2.33]	[-2.48, -0.25, -0.34]	[0.35, -0.92, -2.39]	[1.12, 2.29, -0.36]
