K_max	Best Sigma	Accuracy
10	0.9953018831920571	0.9602543720190779
20	0.9256599393791112	0.9618441971383148
30	0.9256599393791112	0.9618441971383148
40	0.9256599393791112	0.9618441971383148
50	0.8509290187258607	0.9634340222575517
60	0.8509290187258607	0.9634340222575517
70	0.8509290187258607	0.9634340222575517
80	0.8509290187258607	0.9634340222575517
90	0.8509290187258607	0.9634340222575517
100	0.8509290187258607	0.9634340222575517
---------
10	0.9953018831920571	1.0
20	0.9256599393791112	1.0
30	0.9256599393791112	1.0
40	0.9256599393791112	1.0
50	0.8509290187258607	1.0
60	0.8509290187258607	1.0
70	0.8509290187258607	1.0
80	0.8509290187258607	1.0
90	0.8509290187258607	1.0
100	0.8509290187258607	1.0
