Reflection: 2
Expansion: 0
OuterContraction: 2
InContraction: 1
Shrink: 95
K_max	Best Sigma	Accuracy
10	0.9866190204491605	0.9650238473767886
20	0.9866190204491605	0.9650238473767886
30	0.9866190204491605	0.9650238473767886
40	0.9866190204491605	0.9650238473767886
50	0.9866190204491605	0.9650238473767886
60	0.9866190204491605	0.9650238473767886
70	0.9866190204491605	0.9650238473767886
80	0.9866190204491605	0.9650238473767886
90	0.9866190204491605	0.9650238473767886
100	0.9866190204491605	0.9650238473767886
---------
10	0.9866190204491605	0.9714285714285714
20	0.9866190204491605	0.9714285714285714
30	0.9866190204491605	0.9714285714285714
40	0.9866190204491605	0.9714285714285714
50	0.9866190204491605	0.9714285714285714
60	0.9866190204491605	0.9714285714285714
70	0.9866190204491605	0.9714285714285714
80	0.9866190204491605	0.9714285714285714
90	0.9866190204491605	0.9714285714285714
100	0.9866190204491605	0.9714285714285714
