K_max	a	b	Step_size	Best Sigma	Accuracy
10	1.5	0.7	0.1	0.8614527200116784	0.9650238473767886
10	1.5	0.7	0.5	0.8324088653311672	0.9650238473767886
10	1.5	0.5	0.1	0.8720763527575413	0.9650238473767886
10	1.5	0.5	0.5	0.8324088653311672	0.9650238473767886
10	2	0.7	0.1	0.8614527200116784	0.9650238473767886
10	2	0.7	0.5	0.8324088653311672	0.9650238473767886
10	2	0.5	0.1	0.8720763527575413	0.9650238473767886
10	2	0.5	0.5	0.8324088653311672	0.9650238473767886
20	1.5	0.7	0.1	0.8395093659009677	0.9650238473767886
20	1.5	0.7	0.5	0.8679113681801697	0.9650238473767886
20	1.5	0.5	0.1	0.8395093659009677	0.9650238473767886
20	1.5	0.5	0.5	0.8679113681801697	0.9650238473767886
20	2	0.7	0.1	0.8395093659009677	0.9650238473767886
20	2	0.7	0.5	0.8679113681801697	0.9650238473767886
20	2	0.5	0.1	0.8395093659009677	0.9650238473767886
20	2	0.5	0.5	0.8679113681801697	0.9650238473767886
30	1.5	0.7	0.1	0.8530238461090011	0.9650238473767886
30	1.5	0.7	0.5	0.8349496033683991	0.9650238473767886
30	1.5	0.5	0.1	0.8471338516010486	0.9650238473767886
30	1.5	0.5	0.5	0.8342236782149042	0.9650238473767886
30	2	0.7	0.1	0.8530238461090011	0.9650238473767886
30	2	0.7	0.5	0.8349496033683991	0.9650238473767886
30	2	0.5	0.1	0.8471338516010486	0.9650238473767886
30	2	0.5	0.5	0.8342236782149042	0.9650238473767886
40	1.5	0.7	0.1	0.876381071638245	0.9650238473767886
40	1.5	0.7	0.5	0.8349496033683991	0.9650238473767886
40	1.5	0.5	0.1	0.876381071638245	0.9650238473767886
40	1.5	0.5	0.5	0.8342236782149042	0.9650238473767886
40	2	0.7	0.1	0.876381071638245	0.9650238473767886
40	2	0.7	0.5	0.8349496033683991	0.9650238473767886
40	2	0.5	0.1	0.876381071638245	0.9650238473767886
40	2	0.5	0.5	0.8342236782149042	0.9650238473767886
50	1.5	0.7	0.1	0.8390624784475779	0.9650238473767886
50	1.5	0.7	0.5	0.8656769309132206	0.9650238473767886
50	1.5	0.5	0.1	0.8390624784475779	0.9650238473767886
50	1.5	0.5	0.5	0.8656769309132206	0.9650238473767886
50	2	0.7	0.1	0.8390624784475779	0.9650238473767886
50	2	0.7	0.5	0.8656769309132206	0.9650238473767886
50	2	0.5	0.1	0.8390624784475779	0.9650238473767886
50	2	0.5	0.5	0.8656769309132206	0.9650238473767886
60	1.5	0.7	0.1	0.8680850763660464	0.9650238473767886
60	1.5	0.7	0.5	0.8598736984579489	0.9650238473767886
60	1.5	0.5	0.1	0.8680850763660464	0.9650238473767886
60	1.5	0.5	0.5	0.8520266032788684	0.9650238473767886
60	2	0.7	0.1	0.8680850763660464	0.9650238473767886
60	2	0.7	0.5	0.8598736984579489	0.9650238473767886
60	2	0.5	0.1	0.8680850763660464	0.9650238473767886
60	2	0.5	0.5	0.8520266032788684	0.9650238473767886
70	1.5	0.7	0.1	0.8515990344788726	0.9650238473767886
70	1.5	0.7	0.5	0.8598736984579489	0.9650238473767886
70	1.5	0.5	0.1	0.8461161290080997	0.9650238473767886
70	1.5	0.5	0.5	0.8520266032788684	0.9650238473767886
70	2	0.7	0.1	0.8515990344788726	0.9650238473767886
70	2	0.7	0.5	0.8598736984579489	0.9650238473767886
70	2	0.5	0.1	0.8461161290080997	0.9650238473767886
70	2	0.5	0.5	0.8520266032788684	0.9650238473767886
80	1.5	0.7	0.1	0.8080838531538093	0.9650238473767886
80	1.5	0.7	0.5	0.8598736984579489	0.9650238473767886
80	1.5	0.5	0.1	0.8080838531538093	0.9650238473767886
80	1.5	0.5	0.5	0.8520266032788684	0.9650238473767886
80	2	0.7	0.1	0.8080838531538093	0.9650238473767886
80	2	0.7	0.5	0.8598736984579489	0.9650238473767886
80	2	0.5	0.1	0.8080838531538093	0.9650238473767886
80	2	0.5	0.5	0.8520266032788684	0.9650238473767886
90	1.5	0.7	0.1	0.8738230791949799	0.9650238473767886
90	1.5	0.7	0.5	0.8598736984579489	0.9650238473767886
90	1.5	0.5	0.1	0.861990446662462	0.9650238473767886
90	1.5	0.5	0.5	0.8520266032788684	0.9650238473767886
90	2	0.7	0.1	0.8738230791949799	0.9650238473767886
90	2	0.7	0.5	0.8598736984579489	0.9650238473767886
90	2	0.5	0.1	0.861990446662462	0.9650238473767886
90	2	0.5	0.5	0.8520266032788684	0.9650238473767886
100	1.5	0.7	0.1	0.8410044650325954	0.9650238473767886
100	1.5	0.7	0.5	0.875386863838308	0.9650238473767886
100	1.5	0.5	0.1	0.8385485794036159	0.9650238473767886
100	1.5	0.5	0.5	0.8631074356934106	0.9650238473767886
100	2	0.7	0.1	0.8410044650325954	0.9650238473767886
100	2	0.7	0.5	0.875386863838308	0.9650238473767886
100	2	0.5	0.1	0.8385485794036159	0.9650238473767886
100	2	0.5	0.5	0.8631074356934106	0.9650238473767886
---------
10	1.5	0.7	0.1	0.8614527200116784	0.9857142857142858
10	1.5	0.7	0.5	0.8324088653311672	0.9857142857142858
10	1.5	0.5	0.1	0.8720763527575413	0.9857142857142858
10	1.5	0.5	0.5	0.8324088653311672	0.9857142857142858
10	2	0.7	0.1	0.8614527200116784	0.9857142857142858
10	2	0.7	0.5	0.8324088653311672	0.9857142857142858
10	2	0.5	0.1	0.8720763527575413	0.9857142857142858
10	2	0.5	0.5	0.8324088653311672	0.9857142857142858
20	1.5	0.7	0.1	0.8395093659009677	0.9857142857142858
20	1.5	0.7	0.5	0.8679113681801697	0.9857142857142858
20	1.5	0.5	0.1	0.8395093659009677	0.9857142857142858
20	1.5	0.5	0.5	0.8679113681801697	0.9857142857142858
20	2	0.7	0.1	0.8395093659009677	0.9857142857142858
20	2	0.7	0.5	0.8679113681801697	0.9857142857142858
20	2	0.5	0.1	0.8395093659009677	0.9857142857142858
