10	20	0.9682597157393437
10	30	0.9364615284849811
10	40	0.9682649335803977
10	50	1.0
10	60	0.9680596006010744
10	70	0.9366852890911147
10	80	0.9681627636874789
10	90	0.9681574952796793
10	100	0.9682649335803977
20	30	0.9682534774850454
20	40	0.936675939714522
20	50	0.9681574952796793
20	60	0.9362681213571852
20	70	0.9052954651691684
20	80	0.9364730122757606
20	90	1.0
20	100	0.936675939714522
30	40	0.90497822756929
30	50	0.9362565260729745
30	60	0.9043658093297238
30	70	0.8737471144120081
30	80	0.9046734938179948
30	90	0.9681511965476839
30	100	0.90497822756929
40	50	0.9681627636874789
40	60	1.0
40	70	0.9683702850158424
40	80	1.0
40	90	0.9364730122757606
40	100	1.0
50	60	0.9679554281248052
50	70	0.9364824518097792
50	80	0.9680596006010744
50	90	0.9680542808044721
50	100	0.9681627636874789
60	70	0.9681670033026599
60	80	1.0
60	90	0.9360612350895842
60	100	1.0
70	80	0.9682691325153492
70	90	0.9049937830282612
70	100	0.9683702850158424
80	90	0.9362681213571852
80	100	1.0
90	100	0.9364730122757606
