K_max	beta	alpha	Best Sigma	Accuracy
10	1	1	0.6559802735560232	0.958664546899841
10	1	2	0.6666412110443057	0.958664546899841
10	5	1	0.9332707388744342	0.9650238473767886
10	5	2	1.0632086545954325	0.9618441971383148
10	10	1	0.8418061906511174	0.9634340222575517
10	10	2	0.646490045649662	0.9554848966613673
20	1	1	0.8147973898013172	0.9634340222575517
20	1	2	0.7963227143304732	0.9618441971383148
20	5	1	0.9332707388744342	0.9650238473767886
20	5	2	0.9159557364830819	0.9634340222575517
20	10	1	0.8418061906511174	0.9634340222575517
20	10	2	0.9054957116932725	0.9634340222575517
30	1	1	0.8147973898013172	0.9634340222575517
30	1	2	0.7963227143304732	0.9618441971383148
30	5	1	0.9332707388744342	0.9650238473767886
30	5	2	0.9159557364830819	0.9634340222575517
30	10	1	0.8418061906511174	0.9634340222575517
30	10	2	0.9054957116932725	0.9634340222575517
40	1	1	0.8147973898013172	0.9634340222575517
40	1	2	0.9810405683823239	0.9634340222575517
40	5	1	0.9332707388744342	0.9650238473767886
40	5	2	0.9159557364830819	0.9634340222575517
40	10	1	0.8418061906511174	0.9634340222575517
40	10	2	0.9315860061183143	0.9650238473767886
50	1	1	0.8147973898013172	0.9634340222575517
50	1	2	0.9810405683823239	0.9634340222575517
50	5	1	0.9332707388744342	0.9650238473767886
50	5	2	0.8544055006274458	0.9650238473767886
50	10	1	0.8418061906511174	0.9634340222575517
50	10	2	0.9315860061183143	0.9650238473767886
60	1	1	0.8147973898013172	0.9634340222575517
60	1	2	0.9810405683823239	0.9634340222575517
60	5	1	0.9332707388744342	0.9650238473767886
60	5	2	0.8544055006274458	0.9650238473767886
60	10	1	0.8418061906511174	0.9634340222575517
60	10	2	0.9315860061183143	0.9650238473767886
70	1	1	0.8147973898013172	0.9634340222575517
70	1	2	0.9810405683823239	0.9634340222575517
70	5	1	0.9332707388744342	0.9650238473767886
70	5	2	0.8544055006274458	0.9650238473767886
70	10	1	0.8418061906511174	0.9634340222575517
70	10	2	0.9315860061183143	0.9650238473767886
80	1	1	0.8147973898013172	0.9634340222575517
80	1	2	0.9332707388744342	0.9650238473767886
80	5	1	0.9332707388744342	0.9650238473767886
80	5	2	0.8544055006274458	0.9650238473767886
80	10	1	0.8418061906511174	0.9634340222575517
80	10	2	0.9315860061183143	0.9650238473767886
90	1	1	0.8147973898013172	0.9634340222575517
90	1	2	0.9332707388744342	0.9650238473767886
90	5	1	0.9332707388744342	0.9650238473767886
90	5	2	0.8544055006274458	0.9650238473767886
90	10	1	0.8418061906511174	0.9634340222575517
90	10	2	0.9315860061183143	0.9650238473767886
