[1.69, 1.15, -2.29]	[1.89, 0.03, 1.28]	[-1.82, -1.09, -0.19]	[-0.45, 0.03, 1.83]	[-0.06, 1.43, -1.62]	[-2.03, 2.35, 2.13]	[0.8, 0.29, -0.92]
[-0.05, 1.36, 1.98]	[1.27, -2.27, -2.46]	[-0.43, -1.67, -1.82]	[1.26, -2.4, 2.1]	[-0.76, -1.9, -0.05]	[0.3, -0.06, -0.94]	[-2.09, 1.78, -0.78]
[-0.36, 0.3, -1.44]	[-1.27, 2.48, 1.35]	[-0.99, 0.61, -0.57]	[-0.39, 2.22, 2.2]	[0.14, -1.81, 2.25]	[2.3, 1.57, -0.22]	[-2.26, -1.54, 0.27]
[0.58, -0.01, -1.52]	[0.45, 1.33, 1.91]	[-0.68, 1.53, -2.08]	[-0.73, 0.61, 1.65]	[-1.5, 0.12, -2.5]	[0.43, 2.35, 1.53]	[0.23, 0.26, -0.07]
[-1.16, -1.65, -0.1]	[0.84, 1.43, 2.42]	[-0.91, -1.51, 1.93]	[-0.48, 1.95, 0.53]	[-1.22, 1.17, -1.72]	[-0.8, 1.8, -1.21]	[1.64, -1.9, 0.2]
[0.23, 1.73, -0.1]	[-0.57, 1.32, 0.09]	[-2.41, -2.01, 2.14]	[1.94, 0.68, -1.24]	[0.3, -0.07, -0.46]	[-0.06, 1.72, 2.33]	[1.83, 0.97, 1.19]
[-0.3, 1.2, -1.01]	[-1.67, -1.7, -1.63]	[1.43, -2.0, -0.43]	[-0.59, -0.19, 0.82]	[-2.32, -0.64, -1.15]	[2.44, 1.83, -1.0]	[2.07, -2.21, 0.95]
[0.07, -2.19, 0.01]	[-0.88, 0.42, -0.79]	[2.23, 2.07, -1.98]	[0.43, -1.36, -0.48]	[1.64, 2.0, 0.78]	[-1.0, -1.74, 0.23]	[0.66, 0.78, -1.89]
[-0.88, 2.27, 0.39]	[-0.95, 1.09, 0.09]	[0.89, 2.08, -1.69]	[0.69, 0.04, 1.95]	[2.22, 0.02, 1.42]	[0.27, 1.33, 1.88]	[1.47, 2.18, 2.08]
[1.95, -0.89, 2.14]	[0.56, -1.85, -0.18]	[-1.01, 0.4, 0.85]	[-1.09, 1.98, 2.25]	[0.26, -0.66, -0.77]	[1.13, -0.21, 0.02]	[0.42, 2.49, -0.38]
