[-0.37, 0.72, 1.54]	[-0.61, 2.21, -1.52]	[-1.41, -2.31, 0.26]	[-1.2, 1.15, -2.35]	[-1.92, -0.9, -0.15]	[-1.7, -2.22, -1.9]	[1.73, 1.81, 2.16]
[0.03, 2.1, 1.58]	[-0.58, -0.52, 0.36]	[1.4, 1.18, -0.47]	[-1.81, 1.54, -0.9]	[0.22, 1.58, -0.7]	[-1.54, 1.69, -0.28]	[-1.22, 1.18, 2.22]
[1.48, 0.26, -2.3]	[2.13, -0.83, 2.13]	[1.37, -1.25, 2.45]	[-1.09, 1.83, 0.58]	[-0.12, 2.27, 0.45]	[-0.75, 0.28, -1.16]	[-0.13, 0.4, -0.62]
[0.79, -1.4, -2.4]	[0.45, 1.45, -2.14]	[1.1, -0.35, -0.51]	[2.03, 1.47, 2.18]	[-1.93, 0.92, 2.39]	[-1.99, -0.58, -1.57]	[1.67, 1.55, -0.79]
[1.46, -0.17, 2.26]	[-0.22, 1.9, -0.52]	[0.98, -1.36, -2.26]	[0.31, 1.7, 0.84]	[0.44, 0.59, -0.42]	[2.45, -1.61, 1.76]	[0.77, -0.06, 1.07]
[-1.72, 2.5, -0.86]	[0.43, 2.39, 1.63]	[-2.4, -1.97, -1.52]	[-0.69, -2.47, -1.29]	[-0.97, -0.19, -0.48]	[0.37, -0.6, -0.82]	[1.38, -1.23, 2.17]
[1.29, 0.64, 0.03]	[2.41, 2.07, -1.07]	[-0.5, 1.05, 2.0]	[2.48, -0.33, -1.67]	[-1.59, 1.08, -2.27]	[-2.06, 2.11, 0.8]	[-1.94, -0.56, 1.92]
[1.57, -0.09, 0.78]	[-0.56, -0.15, -0.36]	[1.59, -1.65, 1.47]	[-1.71, 1.7, -2.16]	[2.0, 1.48, -1.22]	[1.56, -0.23, -0.1]	[-0.22, 0.39, 1.26]
[2.2, 1.79, -2.17]	[-0.05, -1.92, 2.39]	[-2.41, 2.37, 1.87]	[1.64, -1.12, 1.49]	[-1.51, -2.16, 0.66]	[0.09, 0.95, -0.17]	[-0.22, -1.2, -2.17]
[2.15, 1.31, -0.94]	[0.05, 0.17, -1.46]	[-0.73, -1.06, -1.13]	[2.37, -0.79, -0.4]	[-0.91, 1.43, -1.25]	[-0.5, 0.89, -1.53]	[2.0, 1.29, 1.99]
