[0.68, 2.08, 0.05]	[-0.21, -2.17, 1.41]	[1.63, -1.58, 0.2]	[-1.08, -0.5, -1.78]	[1.95, 0.51, -0.21]	[0.28, 2.17, 1.17]	[0.52, 1.31, 0.44]
[-1.23, 0.94, 1.37]	[1.91, -0.74, -1.17]	[1.78, 0.76, 0.2]	[-2.07, 0.94, -0.53]	[2.12, 2.41, 0.73]	[-0.45, -1.27, 2.48]	[0.52, 2.23, -2.18]
[-0.97, -2.33, 2.03]	[2.39, -0.21, -2.41]	[-0.58, 0.3, -1.51]	[-0.28, 0.42, -1.66]	[1.45, 1.85, -0.45]	[-0.24, 0.87, -0.15]	[0.8, 1.6, 0.97]
[1.27, -0.33, -2.03]	[-2.5, -0.44, -1.01]	[2.3, -1.32, -1.54]	[-0.94, -2.39, -2.17]	[2.14, -2.27, -0.25]	[0.55, -0.62, 1.97]	[-2.09, -0.42, -0.99]
[-1.51, -0.08, 1.83]	[0.52, -1.48, 0.01]	[-0.66, 1.72, -0.98]	[0.49, -1.48, 1.94]	[-2.28, -1.13, -0.87]	[1.67, 2.08, 0.28]	[-2.1, -2.22, 2.25]
[1.31, 0.57, -2.47]	[-1.46, -0.46, -1.96]	[-2.38, 1.17, 0.68]	[-0.88, -1.22, -0.21]	[0.22, -1.38, -0.03]	[1.21, 1.13, 0.41]	[-1.79, -0.1, 0.84]
[2.18, -0.54, 0.52]	[0.29, 1.98, 0.32]	[-2.34, -0.16, 1.0]	[-1.26, -0.46, -2.0]	[0.75, 1.62, -0.54]	[1.78, -1.89, -0.98]	[-0.79, 2.4, -1.88]
[-1.54, -1.08, 0.94]	[1.24, -0.65, 0.79]	[-1.53, 1.42, 0.15]	[0.19, -0.34, -1.89]	[-0.21, -2.09, -1.81]	[-1.11, 0.53, 1.47]	[-2.08, 1.54, 0.78]
[-1.07, 0.63, -2.09]	[-2.37, 1.17, 1.53]	[-2.13, -1.3, 1.07]	[0.79, 0.75, 1.92]	[-0.62, -2.04, 0.64]	[0.08, -0.93, 1.54]	[-1.01, -1.89, -1.9]
[1.37, -2.22, 1.04]	[-1.03, 0.46, -2.12]	[-0.48, 0.4, 0.81]	[-0.37, -1.86, 2.25]	[0.82, 1.51, -1.64]	[1.0, 2.26, 1.7]	[-1.66, -1.68, -0.3]
