K_max	beta	alpha	Best Sigma	Accuracy
10	1	1	-0.780302058007099	0.9618441971383148
10	1	2	0.8330039396297252	0.9634340222575517
10	5	1	0.8157931990622035	0.9634340222575517
10	5	2	-0.34436200859746235	0.9491255961844197
10	10	1	0.8064986408780113	0.9634340222575517
10	10	2	-0.9533375637801075	0.9618441971383148
20	1	1	-0.780302058007099	0.9618441971383148
20	1	2	0.8330039396297252	0.9634340222575517
20	5	1	0.8157931990622035	0.9634340222575517
20	5	2	-1.1097010371629366	0.9538950715421304
20	10	1	0.8064986408780113	0.9634340222575517
20	10	2	-0.850539573634478	0.9634340222575517
30	1	1	-0.780302058007099	0.9618441971383148
30	1	2	0.8330039396297252	0.9634340222575517
30	5	1	0.8157931990622035	0.9634340222575517
30	5	2	-1.1097010371629366	0.9538950715421304
30	10	1	0.8064986408780113	0.9634340222575517
30	10	2	-0.850539573634478	0.9634340222575517
40	1	1	-0.780302058007099	0.9618441971383148
40	1	2	0.8330039396297252	0.9634340222575517
40	5	1	0.8157931990622035	0.9634340222575517
40	5	2	0.8649568747697082	0.9618441971383148
40	10	1	0.8064986408780113	0.9634340222575517
40	10	2	-0.850539573634478	0.9634340222575517
50	1	1	-0.780302058007099	0.9618441971383148
50	1	2	0.8330039396297252	0.9634340222575517
50	5	1	0.8157931990622035	0.9634340222575517
50	5	2	0.8518576358746086	0.9634340222575517
50	10	1	0.8064986408780113	0.9634340222575517
50	10	2	-0.850539573634478	0.9634340222575517
60	1	1	-0.780302058007099	0.9618441971383148
60	1	2	0.8330039396297252	0.9634340222575517
60	5	1	0.8157931990622035	0.9634340222575517
60	5	2	0.8518576358746086	0.9634340222575517
60	10	1	0.8064986408780113	0.9634340222575517
60	10	2	-0.850539573634478	0.9634340222575517
70	1	1	-0.780302058007099	0.9618441971383148
70	1	2	0.8330039396297252	0.9634340222575517
70	5	1	0.8157931990622035	0.9634340222575517
70	5	2	0.8518576358746086	0.9634340222575517
70	10	1	0.8064986408780113	0.9634340222575517
70	10	2	-0.850539573634478	0.9634340222575517
80	1	1	-0.780302058007099	0.9618441971383148
80	1	2	0.8330039396297252	0.9634340222575517
80	5	1	0.8157931990622035	0.9634340222575517
80	5	2	0.8518576358746086	0.9634340222575517
80	10	1	0.8064986408780113	0.9634340222575517
80	10	2	-0.850539573634478	0.9634340222575517
90	1	1	-0.780302058007099	0.9618441971383148
90	1	2	0.8330039396297252	0.9634340222575517
90	5	1	0.8157931990622035	0.9634340222575517
90	5	2	0.8518576358746086	0.9634340222575517
90	10	1	0.8064986408780113	0.9634340222575517
90	10	2	-0.850539573634478	0.9634340222575517
100	1	1	-0.8111731080819278	0.9634340222575517
100	1	2	0.8330039396297252	0.9634340222575517
100	5	1	0.8157931990622035	0.9634340222575517
100	5	2	0.8518576358746086	0.9634340222575517
100	10	1	0.8064986408780113	0.9634340222575517
100	10	2	-0.850539573634478	0.9634340222575517
---------
10	1	1	-0.780302058007099	1.0
10	1	2	0.8330039396297252	1.0
10	5	1	0.8157931990622035	1.0
10	5	2	-0.34436200859746235	0.9857142857142858
10	10	1	0.8064986408780113	1.0
10	10	2	-0.9533375637801075	1.0
20	1	1	-0.780302058007099	1.0
20	1	2	0.8330039396297252	1.0
20	5	1	0.8157931990622035	1.0
20	5	2	-1.1097010371629366	1.0
20	10	1	0.8064986408780113	1.0
20	10	2	-0.850539573634478	1.0
30	1	1	-0.780302058007099	1.0
30	1	2	0.8330039396297252	1.0
30	5	1	0.8157931990622035	1.0
30	5	2	-1.1097010371629366	1.0
30	10	1	0.8064986408780113	1.0
30	10	2	-0.850539573634478	1.0
40	1	1	-0.780302058007099	1.0
40	1	2	0.8330039396297252	1.0
40	5	1	0.8157931990622035	1.0
40	5	2	0.8649568747697082	1.0
40	10	1	0.8064986408780113	1.0
40	10	2	-0.850539573634478	1.0
50	1	1	-0.780302058007099	1.0
50	1	2	0.8330039396297252	1.0
50	5	1	0.8157931990622035	1.0
50	5	2	0.8518576358746086	1.0
50	10	1	0.8064986408780113	1.0
50	10	2	-0.850539573634478	1.0
60	1	1	-0.780302058007099	1.0
60	1	2	0.8330039396297252	1.0
60	5	1	0.8157931990622035	1.0
60	5	2	0.8518576358746086	1.0
60	10	1	0.8064986408780113	1.0
60	10	2	-0.850539573634478	1.0
70	1	1	-0.780302058007099	1.0
70	1	2	0.8330039396297252	1.0
70	5	1	0.8157931990622035	1.0
70	5	2	0.8518576358746086	1.0
70	10	1	0.8064986408780113	1.0
70	10	2	-0.850539573634478	1.0
80	1	1	-0.780302058007099	1.0
80	1	2	0.8330039396297252	1.0
80	5	1	0.8157931990622035	1.0
80	5	2	0.8518576358746086	1.0
80	10	1	0.8064986408780113	1.0
80	10	2	-0.850539573634478	1.0
90	1	1	-0.780302058007099	1.0
90	1	2	0.8330039396297252	1.0
90	5	1	0.8157931990622035	1.0
90	5	2	0.8518576358746086	1.0
90	10	1	0.8064986408780113	1.0
90	10	2	-0.850539573634478	1.0
100	1	1	-0.8111731080819278	1.0
100	1	2	0.8330039396297252	1.0
100	5	1	0.8157931990622035	1.0
100	5	2	0.8518576358746086	1.0
100	10	1	0.8064986408780113	1.0
100	10	2	-0.850539573634478	1.0
