K_max	beta	alpha	Best Sigma	Accuracy
10	1	1	0.7418141306039139	0.9697933227344993
10	1	2	-0.7301850381818022	0.9697933227344993
10	5	1	-0.7301850381818022	0.9697933227344993
10	5	2	-1.1451817889148765	0.9602543720190779
10	10	1	0.7398938464704439	0.9697933227344993
10	10	2	-0.7207827896666269	0.9682034976152624
20	1	1	0.7418141306039139	0.9697933227344993
20	1	2	-0.7301850381818022	0.9697933227344993
20	5	1	-0.7301850381818022	0.9697933227344993
20	5	2	-0.821198464882465	0.9682034976152624
20	10	1	0.7398938464704439	0.9697933227344993
20	10	2	-0.7251848597717772	0.9697933227344993
30	1	1	0.7418141306039139	0.9697933227344993
30	1	2	-0.7301850381818022	0.9697933227344993
30	5	1	-0.7301850381818022	0.9697933227344993
30	5	2	-0.821198464882465	0.9682034976152624
30	10	1	0.7398938464704439	0.9697933227344993
30	10	2	-0.7251848597717772	0.9697933227344993
40	1	1	0.7418141306039139	0.9697933227344993
40	1	2	-0.7301850381818022	0.9697933227344993
40	5	1	-0.7301850381818022	0.9697933227344993
40	5	2	-0.821198464882465	0.9682034976152624
40	10	1	0.7398938464704439	0.9697933227344993
40	10	2	-0.7251848597717772	0.9697933227344993
50	1	1	0.7418141306039139	0.9697933227344993
50	1	2	-0.7301850381818022	0.9697933227344993
50	5	1	-0.7301850381818022	0.9697933227344993
50	5	2	0.7246420454943063	0.9697933227344993
50	10	1	0.7398938464704439	0.9697933227344993
50	10	2	-0.7251848597717772	0.9697933227344993
60	1	1	0.7418141306039139	0.9697933227344993
60	1	2	-0.7301850381818022	0.9697933227344993
60	5	1	-0.7301850381818022	0.9697933227344993
60	5	2	0.7246420454943063	0.9697933227344993
60	10	1	0.7398938464704439	0.9697933227344993
60	10	2	-0.7251848597717772	0.9697933227344993
70	1	1	0.7418141306039139	0.9697933227344993
70	1	2	-0.7301850381818022	0.9697933227344993
70	5	1	-0.7301850381818022	0.9697933227344993
70	5	2	0.7246420454943063	0.9697933227344993
70	10	1	0.7398938464704439	0.9697933227344993
70	10	2	-0.7251848597717772	0.9697933227344993
80	1	1	0.7418141306039139	0.9697933227344993
80	1	2	-0.7301850381818022	0.9697933227344993
80	5	1	-0.7301850381818022	0.9697933227344993
80	5	2	0.7246420454943063	0.9697933227344993
80	10	1	0.7398938464704439	0.9697933227344993
80	10	2	-0.7251848597717772	0.9697933227344993
90	1	1	0.7418141306039139	0.9697933227344993
90	1	2	-0.7301850381818022	0.9697933227344993
90	5	1	-0.7301850381818022	0.9697933227344993
90	5	2	0.7246420454943063	0.9697933227344993
90	10	1	0.7398938464704439	0.9697933227344993
90	10	2	-0.7251848597717772	0.9697933227344993
100	1	1	0.7418141306039139	0.9697933227344993
100	1	2	-0.7301850381818022	0.9697933227344993
100	5	1	-0.7301850381818022	0.9697933227344993
100	5	2	0.7246420454943063	0.9697933227344993
100	10	1	0.7398938464704439	0.9697933227344993
100	10	2	-0.7251848597717772	0.9697933227344993
---------
10	1	1	0.7418141306039139	0.9428571428571428
10	1	2	-0.7301850381818022	0.9428571428571428
10	5	1	-0.7301850381818022	0.9428571428571428
10	5	2	-1.1451817889148765	0.9285714285714286
10	10	1	0.7398938464704439	0.9428571428571428
10	10	2	-0.7207827896666269	0.9428571428571428
20	1	1	0.7418141306039139	0.9428571428571428
20	1	2	-0.7301850381818022	0.9428571428571428
20	5	1	-0.7301850381818022	0.9428571428571428
20	5	2	-0.821198464882465	0.9571428571428572
20	10	1	0.7398938464704439	0.9428571428571428
20	10	2	-0.7251848597717772	0.9428571428571428
30	1	1	0.7418141306039139	0.9428571428571428
30	1	2	-0.7301850381818022	0.9428571428571428
30	5	1	-0.7301850381818022	0.9428571428571428
30	5	2	-0.821198464882465	0.9571428571428572
30	10	1	0.7398938464704439	0.9428571428571428
30	10	2	-0.7251848597717772	0.9428571428571428
40	1	1	0.7418141306039139	0.9428571428571428
40	1	2	-0.7301850381818022	0.9428571428571428
40	5	1	-0.7301850381818022	0.9428571428571428
40	5	2	-0.821198464882465	0.9571428571428572
40	10	1	0.7398938464704439	0.9428571428571428
40	10	2	-0.7251848597717772	0.9428571428571428
50	1	1	0.7418141306039139	0.9428571428571428
