K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.9631614906832299	0.9714285714285714	0.025705596989708746	0.9130434782608695	1.0	0.9580609425536669	0.968262038812793
20	0.9644472049689441	0.9714285714285714	0.02508077209665035	0.9130434782608695	1.0	0.9594706356538344	0.9694237742840542
30	0.964304347826087	0.9714285714285714	0.025407923291336624	0.9130434782608695	1.0	0.9592628646163569	0.9693458310358173
40	0.964304347826087	0.9714285714285714	0.025245135045133135	0.9130434782608695	1.0	0.9592951653361191	0.969313530316055
50	0.964304347826087	0.9714285714285714	0.025245135045133135	0.9130434782608695	1.0	0.9592951653361191	0.969313530316055
60	0.9645900621118012	0.9714285714285714	0.025406088905277676	0.9130434782608695	1.0	0.9595489428840626	0.9696311813395403
70	0.9648757763975155	0.9714285714285714	0.025238175527665132	0.9130434782608695	1.0	0.9598679748268013	0.9698835779682302
80	0.9644472049689441	0.9714285714285714	0.025162829535444402	0.9130434782608695	1.0	0.9594543536777291	0.9694400562601595
90	0.9645900621118012	0.9714285714285714	0.025406088905277676	0.9130434782608695	1.0	0.9595489428840626	0.9696311813395403
100	0.9644472049689441	0.9714285714285714	0.02532614682025811	0.9130434782608695	1.0	0.959421947985229	0.9694724619526597
