K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.9645900621118012	0.9714285714285714	0.02556785239307968	0.9130434782608695	1.0	0.9595168454985994	0.9696632787250035
20	0.964304347826087	0.9714285714285714	0.025245135045133135	0.9130434782608695	1.0	0.9592951653361194	0.9693135303160553
30	0.964304347826087	0.9714285714285714	0.025407923291336624	0.9130434782608695	1.0	0.9592628646163569	0.9693458310358173
40	0.9647329192546584	0.9714285714285714	0.025322678432985378	0.9130434782608695	1.0	0.9597083504742252	0.9697574880350919
50	0.9647329192546584	0.9714285714285714	0.025322678432985378	0.9130434782608695	1.0	0.9597083504742252	0.9697574880350919
60	0.9647329192546584	0.9714285714285714	0.025484971366509707	0.9130434782608695	1.0	0.9596761480352444	0.9697896904740727
70	0.9644472049689441	0.9714285714285714	0.02532614682025811	0.9130434782608695	1.0	0.9594219479852288	0.9694724619526596
80	0.9647329192546584	0.9714285714285714	0.025322678432985378	0.9130434782608695	1.0	0.9597083504742252	0.9697574880350919
90	0.9645900621118012	0.9714285714285714	0.02556785239307968	0.9130434782608695	1.0	0.9595168454985994	0.9696632787250035
100	0.9641614906832299	0.9714285714285714	0.02548862865245922	0.9130434782608695	1.0	0.9591039937789381	0.9692189875875219
