K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.9650186335403727	0.9714285714285714	0.02531595265497364	0.9130434782608695	1.0	0.9599953993002138	0.9700418677805319
20	0.9651614906832299	0.9714285714285714	0.0253926797538157	0.9130434782608695	1.0	0.9601230321220547	0.9701999492444052
30	0.965304347826087	0.9714285714285714	0.02530596688899127	0.9130434782608695	1.0	0.9602830949785418	0.9703256006736326
40	0.9648757763975155	0.9714285714285714	0.02540100837558761	0.9130434782608695	1.0	0.9598356652570903	0.9699158875379412
50	0.9650186335403727	0.9714285714285714	0.02515256917886183	0.9130434782608695	1.0	0.9600278181265036	0.9700094489542421
60	0.9648757763975155	0.9714285714285714	0.025074285262670963	0.9130434782608695	1.0	0.9599004942110001	0.9698510585840314
70	0.9647329192546584	0.9714285714285714	0.025484971366509707	0.9130434782608695	1.0	0.9596761480352446	0.9697896904740729
80	0.9648757763975155	0.9714285714285714	0.025238175527665132	0.9130434782608695	1.0	0.9598679748268013	0.9698835779682302
90	0.9651614906832299	0.9714285714285714	0.02522979315310383	0.9130434782608695	1.0	0.9601553523574854	0.9701676290089746
100	0.9648757763975155	0.9714285714285714	0.02540100837558761	0.9130434782608695	1.0	0.9598356652570903	0.9699158875379412
