K_max	beta	alpha	Best Sigma	Accuracy
10	1	1	0.8467052098040316	0.9682034976152624
10	1	2	-0.8473410831116347	0.9682034976152624
10	5	1	-0.9439402555420332	0.9682034976152624
10	5	2	0.8812187782646562	0.9666136724960255
10	10	1	-0.9517278901248973	0.9682034976152624
10	10	2	0.8734311436817913	0.9666136724960255
20	1	1	0.8467052098040316	0.9682034976152624
20	1	2	-0.8473410831116347	0.9682034976152624
20	5	1	-0.9439402555420332	0.9682034976152624
20	5	2	0.8208210048226303	0.9682034976152624
20	10	1	-0.9517278901248973	0.9682034976152624
20	10	2	0.8130333702397654	0.9682034976152624
30	1	1	0.8467052098040316	0.9682034976152624
30	1	2	-0.8473410831116347	0.9682034976152624
30	5	1	-0.9439402555420332	0.9682034976152624
30	5	2	0.8208210048226303	0.9682034976152624
30	10	1	-0.9517278901248973	0.9682034976152624
30	10	2	0.8130333702397654	0.9682034976152624
40	1	1	0.8467052098040316	0.9682034976152624
40	1	2	-0.8473410831116347	0.9682034976152624
40	5	1	-0.9439402555420332	0.9682034976152624
40	5	2	0.8208210048226303	0.9682034976152624
40	10	1	-0.9517278901248973	0.9682034976152624
40	10	2	0.8130333702397654	0.9682034976152624
50	1	1	0.8467052098040316	0.9682034976152624
50	1	2	-0.8473410831116347	0.9682034976152624
50	5	1	-0.9439402555420332	0.9682034976152624
50	5	2	0.8208210048226303	0.9682034976152624
50	10	1	-0.9517278901248973	0.9682034976152624
50	10	2	0.8130333702397654	0.9682034976152624
60	1	1	0.8467052098040316	0.9682034976152624
60	1	2	-0.8473410831116347	0.9682034976152624
60	5	1	-0.9439402555420332	0.9682034976152624
60	5	2	0.8208210048226303	0.9682034976152624
60	10	1	-0.9517278901248973	0.9682034976152624
60	10	2	0.8130333702397654	0.9682034976152624
70	1	1	0.8467052098040316	0.9682034976152624
70	1	2	-0.8473410831116347	0.9682034976152624
70	5	1	-0.9439402555420332	0.9682034976152624
70	5	2	0.8208210048226303	0.9682034976152624
70	10	1	-0.9517278901248973	0.9682034976152624
70	10	2	0.8130333702397654	0.9682034976152624
80	1	1	0.8467052098040316	0.9682034976152624
80	1	2	-0.8473410831116347	0.9682034976152624
80	5	1	-0.9439402555420332	0.9682034976152624
80	5	2	0.8208210048226303	0.9682034976152624
80	10	1	-0.9517278901248973	0.9682034976152624
80	10	2	0.8130333702397654	0.9682034976152624
90	1	1	0.8467052098040316	0.9682034976152624
90	1	2	-0.8473410831116347	0.9682034976152624
90	5	1	-0.9439402555420332	0.9682034976152624
90	5	2	0.8208210048226303	0.9682034976152624
90	10	1	-0.9517278901248973	0.9682034976152624
90	10	2	0.8130333702397654	0.9682034976152624
100	1	1	0.8467052098040316	0.9682034976152624
100	1	2	-0.8473410831116347	0.9682034976152624
100	5	1	-0.9439402555420332	0.9682034976152624
100	5	2	0.8208210048226303	0.9682034976152624
100	10	1	-0.9517278901248973	0.9682034976152624
100	10	2	0.8130333702397654	0.9682034976152624
---------
10	1	1	0.8467052098040316	0.9428571428571428
10	1	2	-0.8473410831116347	0.9428571428571428
10	5	1	-0.9439402555420332	0.9571428571428572
10	5	2	0.8812187782646562	0.9571428571428572
10	10	1	-0.9517278901248973	0.9571428571428572
10	10	2	0.8734311436817913	0.9571428571428572
20	1	1	0.8467052098040316	0.9428571428571428
20	1	2	-0.8473410831116347	0.9428571428571428
20	5	1	-0.9439402555420332	0.9571428571428572
20	5	2	0.8208210048226303	0.9428571428571428
20	10	1	-0.9517278901248973	0.9571428571428572
20	10	2	0.8130333702397654	0.9428571428571428
30	1	1	0.8467052098040316	0.9428571428571428
30	1	2	-0.8473410831116347	0.9428571428571428
30	5	1	-0.9439402555420332	0.9571428571428572
30	5	2	0.8208210048226303	0.9428571428571428
30	10	1	-0.9517278901248973	0.9571428571428572
30	10	2	0.8130333702397654	0.9428571428571428
40	1	1	0.8467052098040316	0.9428571428571428
40	1	2	-0.8473410831116347	0.9428571428571428
40	5	1	-0.9439402555420332	0.9571428571428572
40	5	2	0.8208210048226303	0.9428571428571428
40	10	1	-0.9517278901248973	0.9571428571428572
40	10	2	0.8130333702397654	0.9428571428571428
50	1	1	0.8467052098040316	0.9428571428571428
50	1	2	-0.8473410831116347	0.9428571428571428
50	5	1	-0.9439402555420332	0.9571428571428572
50	5	2	0.8208210048226303	0.9428571428571428
50	10	1	-0.9517278901248973	0.9571428571428572
50	10	2	0.8130333702397654	0.9428571428571428
60	1	1	0.8467052098040316	0.9428571428571428
60	1	2	-0.8473410831116347	0.9428571428571428
60	5	1	-0.9439402555420332	0.9571428571428572
60	5	2	0.8208210048226303	0.9428571428571428
60	10	1	-0.9517278901248973	0.9571428571428572
60	10	2	0.8130333702397654	0.9428571428571428
70	1	1	0.8467052098040316	0.9428571428571428
70	1	2	-0.8473410831116347	0.9428571428571428
70	5	1	-0.9439402555420332	0.9571428571428572
70	5	2	0.8208210048226303	0.9428571428571428
70	10	1	-0.9517278901248973	0.9571428571428572
70	10	2	0.8130333702397654	0.9428571428571428
80	1	1	0.8467052098040316	0.9428571428571428
80	1	2	-0.8473410831116347	0.9428571428571428
80	5	1	-0.9439402555420332	0.9571428571428572
80	5	2	0.8208210048226303	0.9428571428571428
80	10	1	-0.9517278901248973	0.9571428571428572
80	10	2	0.8130333702397654	0.9428571428571428
90	1	1	0.8467052098040316	0.9428571428571428
90	1	2	-0.8473410831116347	0.9428571428571428
90	5	1	-0.9439402555420332	0.9571428571428572
90	5	2	0.8208210048226303	0.9428571428571428
90	10	1	-0.9517278901248973	0.9571428571428572
90	10	2	0.8130333702397654	0.9428571428571428
100	1	1	0.8467052098040316	0.9428571428571428
100	1	2	-0.8473410831116347	0.9428571428571428
100	5	1	-0.9439402555420332	0.9571428571428572
100	5	2	0.8208210048226303	0.9428571428571428
100	10	1	-0.9517278901248973	0.9571428571428572
100	10	2	0.8130333702397654	0.9428571428571428
