[1.03, -1.63, -1.57]	[0.27, -1.69, -1.49]	[1.04, -1.53, 2.45]	[-1.88, 0.77, -2.08]	[-2.3, -2.49, 2.23]	[-1.25, -0.93, -1.62]	[0.43, 1.24, -1.39]	[-0.96, -1.53, -1.61]
[1.52, -2.06, 1.84]	[-1.56, 1.85, 2.09]	[2.48, 0.41, 0.97]	[1.52, -1.16, -0.66]	[-0.06, -0.17, -1.22]	[-0.07, -1.82, 1.63]	[1.75, 1.41, -2.17]	[2.34, 0.32, 0.19]
[-2.42, 0.03, -2.24]	[0.01, -1.0, 1.94]	[-0.54, -0.74, -1.38]	[-0.66, -0.01, 2.28]	[-0.71, 0.61, -2.25]	[0.29, -0.98, -2.05]	[-2.15, -0.46, -2.05]	[-1.24, 0.81, 0.84]
[-0.85, 0.17, 2.02]	[-0.52, -0.05, -1.02]	[0.97, 2.3, -0.67]	[-0.09, 1.43, 2.2]	[-1.68, -0.5, 1.05]	[-0.05, 2.25, 1.8]	[-2.35, -2.29, -2.06]	[-1.39, 1.23, -2.16]
[1.75, 0.06, 1.1]	[-1.25, -2.48, 0.8]	[-0.87, 1.65, -2.26]	[-0.69, 2.17, 1.2]	[0.55, -1.32, 1.06]	[-0.54, 2.03, -1.65]	[0.13, 1.66, 2.19]	[2.36, 2.33, 0.25]
[-0.34, -1.79, 1.59]	[-2.07, 1.84, -1.53]	[-2.23, 1.62, -1.1]	[-1.16, 2.23, 1.19]	[1.54, -1.29, 0.17]	[-1.37, -2.32, 2.24]	[1.66, -2.27, 1.45]	[0.17, -0.15, 1.26]
[-2.11, 0.65, -0.61]	[-1.12, 0.87, 0.08]	[1.64, -2.47, 1.83]	[-1.14, -0.86, -0.71]	[-0.6, 0.46, -0.89]	[1.1, 0.72, 0.02]	[-0.29, 0.71, -0.93]	[0.91, -0.32, -0.39]
[1.84, 1.17, 1.43]	[1.22, 2.46, -1.18]	[-2.49, -1.88, -0.16]	[2.32, -1.14, -0.62]	[1.48, -1.4, -0.34]	[-0.24, -1.6, -1.63]	[-0.24, -1.03, -1.68]	[-1.1, -2.05, 1.72]
[2.01, 0.35, 0.58]	[-0.1, -1.2, 1.59]	[0.84, -0.59, 2.05]	[-1.73, 2.17, -2.47]	[1.15, -2.25, -0.23]	[-2.33, -2.32, -1.79]	[2.43, 0.57, 1.85]	[-1.51, 1.96, -2.26]
[1.14, 0.43, 0.07]	[1.82, 1.43, 1.04]	[1.37, 1.32, 1.43]	[1.47, 1.97, -1.23]	[0.82, 1.89, -2.26]	[1.75, 1.26, -0.24]	[-0.27, -2.05, 0.21]	[1.36, 2.2, 2.16]
