[2.47, -1.09, 1.69]	[1.0, 2.05, -1.47]	[1.26, -1.64, 1.12]	[1.38, 2.13, -2.46]	[-0.63, 1.18, 0.81]	[0.34, 2.37, 2.1]	[0.06, -2.0, 0.52]	[0.34, 2.26, -0.14]
[-1.74, -1.1, 0.54]	[-2.0, 2.42, 1.01]	[-1.0, -1.83, 1.69]	[-1.15, 0.02, -1.63]	[0.15, 1.78, 0.02]	[0.65, 0.97, -1.4]	[-1.21, 1.83, 0.5]	[-0.4, 0.56, 1.39]
[-2.44, 0.85, 0.75]	[-0.02, -0.77, 0.67]	[-0.04, 1.38, 1.1]	[-2.5, 0.21, -1.24]	[-0.32, 1.87, 2.26]	[-0.09, -0.28, 0.13]	[0.65, 2.26, -0.51]	[0.18, 2.17, 2.2]
[1.4, -0.78, 0.32]	[1.76, -0.69, -1.79]	[2.11, -2.21, 1.92]	[1.74, -1.69, -0.85]	[2.35, 1.45, 0.54]	[-0.26, 0.0, -0.74]	[0.05, 2.03, 1.1]	[0.6, 1.04, -1.31]
[2.48, -1.68, -1.07]	[0.83, 0.77, -1.0]	[-0.06, -1.03, 2.44]	[2.35, 1.97, -2.07]	[1.02, -0.66, -0.17]	[-0.45, -1.83, 2.03]	[2.26, -1.14, -0.11]	[-0.07, 0.14, -0.87]
[-2.0, 1.52, 0.06]	[1.73, -1.59, -1.62]	[-0.02, 1.07, 1.45]	[-1.5, 2.03, -2.2]	[0.24, 0.27, 1.23]	[-1.23, 1.33, 2.19]	[1.53, 1.32, 2.36]	[-0.05, 0.49, -2.17]
[-1.64, 0.05, -1.48]	[-0.23, -0.11, -1.3]	[0.71, -0.37, 0.53]	[-1.61, 1.97, 2.47]	[1.71, 2.23, 1.45]	[2.33, 0.86, -1.13]	[1.13, -0.32, -1.76]	[2.28, 0.29, 1.67]
[1.68, -0.29, 1.4]	[-0.61, -1.81, 0.99]	[2.42, -2.4, 0.33]	[-1.79, -2.14, -1.57]	[2.31, 1.85, 1.04]	[1.66, 2.32, -0.49]	[-0.22, -0.09, -1.72]	[2.35, -1.78, 2.0]
[0.86, -2.18, -1.6]	[1.45, 2.17, 2.05]	[-0.4, 0.16, 1.13]	[-2.26, -1.15, 0.82]	[-1.75, -1.6, 0.87]	[0.22, -1.38, 1.51]	[2.04, -0.37, 0.2]	[-1.25, 2.03, -0.14]
[-2.09, 1.35, 0.6]	[-2.28, 1.47, -1.48]	[2.35, 1.07, 0.5]	[0.64, -0.59, 1.26]	[1.89, 0.15, -1.91]	[1.07, 1.76, -2.27]	[-1.47, 0.31, -0.86]	[-0.24, -1.15, -1.46]
