[1.65, -1.5, 0.7]	[0.21, 1.94, -1.03]	[-2.15, -1.97, 1.03]	[-2.08, -1.06, 1.73]	[2.37, -0.65, 2.46]	[0.29, -0.19, 1.78]
[-1.86, 1.58, -0.99]	[-2.25, 0.08, 0.09]	[0.45, -2.35, 0.53]	[0.98, 0.12, 1.69]	[2.08, -0.37, -0.21]	[-0.6, 2.16, -2.0]
[0.91, 1.4, 1.45]	[0.39, 0.47, -2.21]	[0.97, 0.56, -0.56]	[0.38, -0.9, -0.82]	[1.72, 0.71, -1.95]	[1.02, -0.65, 2.27]
[-2.0, -0.2, 1.85]	[0.68, -0.02, 2.25]	[0.0, -0.7, -0.81]	[-0.79, 0.13, 0.96]	[0.23, -2.11, -2.12]	[-0.52, 0.46, 1.53]
[-0.88, 1.92, -1.13]	[1.75, -0.68, -0.18]	[0.12, 1.49, 1.27]	[1.09, -0.94, -0.04]	[-0.62, -1.27, -0.09]	[0.48, 0.52, -2.39]
[1.98, -0.51, 2.36]	[-1.74, -0.62, 0.53]	[1.98, -0.12, 1.01]	[-0.11, -0.81, 1.92]	[-1.58, 1.44, 0.08]	[2.17, 1.66, -2.4]
[1.18, -1.63, 0.73]	[-2.25, 1.28, 1.92]	[-2.24, -1.23, -1.69]	[0.99, 0.66, -0.43]	[0.92, -1.03, -1.31]	[-2.31, -0.62, 0.01]
[0.46, 2.47, 2.47]	[0.36, 0.83, -0.36]	[1.18, -2.29, 0.03]	[0.63, -1.49, -1.38]	[-1.97, 0.94, -0.74]	[-0.42, 1.32, 0.94]
[-0.25, 2.21, 2.06]	[-0.49, -1.92, -0.1]	[1.48, 0.26, -0.4]	[-1.15, 2.34, -1.46]	[-1.87, 0.9, -2.37]	[0.92, 1.03, -1.04]
[0.36, -0.2, 0.2]	[0.63, -1.8, 1.64]	[0.81, 1.85, 1.73]	[0.19, -1.73, 2.46]	[-1.55, -1.04, 0.03]	[-0.18, -2.16, 1.7]
