[1.45, -1.26, 2.32]	[-2.28, -0.34, 2.4]	[-1.77, 0.91, -2.02]	[0.01, 1.44, -1.77]	[-0.42, 0.61, 1.6]	[-2.12, -0.22, 2.47]
[1.63, 1.15, -0.79]	[-1.25, -1.76, -2.07]	[1.77, -0.49, 2.11]	[-0.52, 0.98, -2.06]	[1.84, 1.16, -2.35]	[0.24, 0.82, 1.21]
[1.04, 1.41, 1.46]	[2.13, 0.01, 0.42]	[1.98, -0.63, 1.71]	[-2.19, -0.3, -0.55]	[1.62, 2.24, 1.34]	[-1.05, 0.64, 2.42]
[-1.57, 0.22, 0.23]	[-1.06, 0.06, 1.28]	[-1.94, 0.38, -1.61]	[-1.96, 0.13, -0.49]	[1.93, -2.21, -2.46]	[2.34, 1.2, -1.02]
[0.85, 2.07, 1.69]	[1.75, -0.13, -0.4]	[1.62, 0.28, -2.32]	[1.13, 0.27, -1.55]	[2.41, -1.75, -2.13]	[-1.26, 2.09, -0.53]
[-0.43, -0.2, -2.21]	[-1.67, -2.07, 2.28]	[-1.52, -1.12, 0.34]	[1.4, -0.49, 2.4]	[-0.73, 2.43, 2.43]	[-1.17, 1.96, 0.92]
[-1.76, -1.8, -1.14]	[1.61, 0.14, 0.14]	[-0.71, 2.45, 2.4]	[-2.28, -0.74, -1.59]	[1.16, -1.09, -1.35]	[-0.06, 0.6, 0.56]
[-0.94, 1.27, -0.83]	[1.25, 0.69, -1.18]	[0.87, -0.16, -1.16]	[0.03, -1.98, 0.67]	[0.86, -1.24, 2.35]	[-1.18, 0.3, -2.19]
[-2.02, 0.7, -1.93]	[-2.02, 0.96, 1.38]	[0.19, 1.45, -2.49]	[1.26, -1.27, -1.05]	[1.66, -1.52, -1.19]	[-2.03, -1.25, 1.03]
[1.33, -0.23, 2.11]	[-1.82, -0.18, 1.86]	[-1.54, -1.76, 0.09]	[2.17, -1.94, -2.38]	[1.43, 0.95, 2.36]	[1.24, -1.64, -0.51]
