[-1.13, -1.46, 0.5]	[0.67, -1.44, -1.06]	[-1.91, 0.32, -1.82]	[-0.01, -2.03, -1.74]	[0.3, -0.1, -1.83]	[-2.5, 1.46, -0.83]
[2.49, 0.81, 0.57]	[-1.19, -1.12, -1.3]	[1.28, 1.99, -0.43]	[1.36, 0.66, -1.73]	[0.22, 0.63, -0.87]	[0.56, -1.12, 1.72]
[1.58, 1.25, 1.22]	[1.57, -0.8, 2.16]	[0.81, -1.1, -0.85]	[-2.42, 1.53, -1.1]	[1.07, 0.02, 1.0]	[1.42, -1.9, -0.42]
[-0.78, -1.1, -1.64]	[-0.86, -1.43, -1.27]	[1.63, 0.65, 1.48]	[0.99, 2.19, 0.34]	[2.16, -2.05, 0.15]	[-0.81, 1.6, -1.11]
[1.94, -0.56, -1.84]	[-0.64, 0.01, 2.03]	[0.31, 0.2, -0.4]	[1.02, -0.4, 1.82]	[-2.47, 1.59, -1.98]	[-0.44, 0.53, -0.77]
[-2.12, 2.38, 1.07]	[-2.07, -1.01, -0.14]	[-1.78, 2.32, -2.37]	[0.92, 0.48, -1.25]	[0.34, 0.95, -1.7]	[-2.2, 0.11, -1.29]
[-2.19, -1.56, -1.41]	[-1.08, 1.03, -0.25]	[-1.74, -0.6, 0.56]	[-0.08, -2.4, 0.47]	[1.69, -0.38, 1.85]	[-0.02, 1.96, -1.84]
[-0.59, 1.06, -0.24]	[-1.21, -0.84, 1.03]	[2.25, 0.55, 1.34]	[-1.34, 0.31, -1.95]	[0.45, 0.8, 2.0]	[-1.24, 0.08, -1.08]
[-1.3, 0.33, -0.2]	[2.02, 1.68, -0.89]	[1.29, -0.91, 1.7]	[-0.26, -2.4, -1.4]	[-0.15, 1.07, 0.14]	[1.15, 0.45, 1.6]
[-0.56, -0.94, 0.78]	[2.4, -0.05, 0.31]	[2.17, 1.47, 1.6]	[0.53, -2.32, -0.15]	[-0.05, 1.31, 0.16]	[2.35, 0.25, -1.42]
