[0.24, 0.77, -1.81]	[-2.26, -1.15, -0.95]	[-1.58, -1.06, -0.68]	[2.46, -0.26, 0.69]	[-0.89, -0.89, -1.55]
[-0.72, 1.68, -0.77]	[-0.8, 0.91, -1.68]	[-2.34, -0.3, -2.03]	[-0.26, -2.39, -1.9]	[1.83, -2.06, -1.45]
[2.37, 0.64, -0.82]	[1.02, -1.39, 0.47]	[-1.35, 1.81, -1.38]	[1.54, -2.33, 1.01]	[2.46, 0.0, 0.18]
[-0.32, -2.48, 2.06]	[2.37, -0.29, 1.83]	[-2.26, -0.94, -1.55]	[0.52, -0.67, -0.82]	[-0.3, -1.92, 1.27]
[1.41, 0.82, 1.19]	[-1.81, 0.97, 0.86]	[0.6, 1.17, -2.38]	[-2.45, 0.48, 0.58]	[-0.1, -1.97, -1.28]
[0.59, 0.13, -1.76]	[0.54, -0.29, 1.46]	[1.3, -1.13, -0.68]	[-1.02, -1.81, 1.32]	[-0.27, 0.52, 1.44]
[2.12, 2.08, -1.49]	[-1.32, 0.57, 1.09]	[-2.5, -2.37, -1.38]	[-1.45, 0.5, 0.86]	[1.6, 1.69, 1.1]
[-2.24, 1.92, -1.43]	[-1.86, -1.48, -1.93]	[0.7, -1.46, -1.03]	[-1.39, -2.18, 1.5]	[-1.2, 2.45, -0.9]
[-1.99, -0.66, -2.41]	[-0.58, -1.63, 0.71]	[-2.19, -1.33, 0.36]	[-0.92, -2.1, 0.59]	[2.29, 1.46, -0.11]
[1.77, 0.67, -2.0]	[-2.36, 1.1, 2.19]	[1.13, -1.31, 1.1]	[1.36, -1.02, 0.3]	[-1.57, -1.69, -1.83]
