[2.18, 1.68, -1.67]	[0.69, -1.92, -1.28]	[-1.52, -0.19, -1.36]	[1.3, -0.07, 1.96]	[-0.09, 0.11, 0.14]
[-1.76, -1.38, -0.32]	[0.3, 0.3, -1.58]	[0.79, -0.19, -1.72]	[-0.13, 0.16, -1.46]	[1.37, 2.38, -1.32]
[1.36, 0.78, -1.19]	[0.14, -0.14, -1.44]	[-0.94, -0.38, 0.53]	[-0.88, 1.72, -1.18]	[2.14, 2.21, 1.68]
[1.17, 0.65, -1.81]	[1.29, -0.91, -2.26]	[0.26, -1.24, 1.44]	[-1.35, -0.73, -0.39]	[-1.93, 1.3, 2.01]
[-1.19, -1.74, 0.35]	[-2.29, -0.52, -0.44]	[1.39, 0.75, 0.36]	[2.27, -1.33, -0.88]	[-0.47, 0.04, 2.11]
[-0.95, -0.38, -1.48]	[1.35, -2.2, -0.85]	[2.49, -0.81, -0.67]	[-2.02, -2.45, 2.22]	[2.13, -0.27, -1.75]
[1.89, 0.21, 0.38]	[0.55, 0.8, -1.19]	[1.76, -0.09, 1.26]	[0.87, -2.15, -0.92]	[2.24, -1.13, 1.55]
[0.77, 0.26, -0.59]	[-1.01, -0.7, 1.8]	[2.29, 1.89, 1.69]	[0.31, 0.87, -2.04]	[1.31, 1.22, -0.7]
[-0.68, 1.17, 1.26]	[-0.44, -1.31, -1.23]	[-0.97, -0.46, -0.55]	[0.73, 2.45, -0.97]	[1.01, -2.04, 0.97]
[0.09, 1.18, 1.06]	[-0.83, -1.91, 0.97]	[1.86, -2.23, 0.0]	[-2.04, -0.22, -0.98]	[-0.88, 2.48, 0.32]
