[1.33, -2.14, 0.71]	[2.33, 0.95, 0.95]	[1.31, -0.93, 0.59]	[-0.72, -1.06, -1.35]	[1.57, 2.22, 1.26]
[1.6, 0.14, -2.16]	[1.34, 1.82, -1.92]	[-1.86, -1.47, 2.43]	[2.05, 2.39, 1.79]	[-1.56, 1.64, 0.81]
[-0.29, 1.1, 1.53]	[1.5, 2.32, -0.8]	[-2.18, 1.71, -1.4]	[1.5, -2.45, 1.38]	[0.33, -1.22, 2.28]
[-1.21, 1.46, -0.65]	[-2.44, 1.53, -1.45]	[0.87, -0.47, 1.64]	[2.46, -1.44, 1.11]	[0.08, 0.31, -1.03]
[-1.58, -1.42, -0.01]	[-1.24, 1.21, -1.15]	[0.95, -1.72, 0.68]	[-1.81, 1.13, 1.51]	[-1.3, -0.93, -0.42]
[-2.33, 1.21, -2.18]	[2.5, -2.47, 1.17]	[1.56, -0.69, -0.6]	[0.74, 1.83, 0.4]	[1.53, -0.59, 0.75]
[0.95, -1.78, -1.36]	[-0.53, -2.23, -2.26]	[1.0, 0.86, -1.02]	[-0.66, -1.0, 0.09]	[0.11, -0.21, 1.32]
[1.01, 0.24, 0.43]	[0.18, 2.37, 2.36]	[-1.02, 0.74, -0.63]	[-0.61, -1.4, -1.07]	[0.46, -2.35, 0.2]
[-1.47, 0.6, -1.21]	[-2.46, 0.32, -1.08]	[2.24, 1.28, 2.49]	[0.95, 1.06, 1.73]	[1.1, 1.76, 0.31]
[2.38, -1.65, 0.36]	[-1.51, -1.4, -1.79]	[0.22, -0.75, 1.88]	[2.43, -1.61, -0.91]	[2.08, 2.2, -1.32]
