[0.37, 0.95, 1.98]	[-0.84, 1.76, 1.26]	[0.74, 1.7, -1.96]	[-2.09, -1.07, 2.46]	[-1.24, 0.04, 0.62]
[-2.47, -0.19, -2.21]	[-2.04, 0.67, -0.29]	[-0.31, 1.84, 2.44]	[-2.37, -1.51, -1.37]	[-0.5, -1.42, -1.88]
[1.51, 1.3, 2.06]	[-1.02, 1.63, 1.48]	[2.47, -0.02, -0.35]	[0.93, 2.3, 1.62]	[-2.26, 2.1, 1.51]
[1.63, 2.05, -2.37]	[0.04, -0.53, -1.22]	[-0.24, 1.09, -2.47]	[2.46, -2.27, 1.73]	[2.19, 2.04, -2.01]
[-2.18, -0.21, -2.44]	[-0.89, 2.28, 0.51]	[-0.68, -1.76, -0.71]	[0.34, -2.44, 1.11]	[-1.98, -1.67, 2.01]
[0.46, 2.38, 1.93]	[1.99, -1.51, -1.26]	[-2.36, 1.33, 0.61]	[1.84, 2.26, 0.35]	[-0.33, -2.45, 0.16]
[-2.01, 1.79, -1.42]	[-2.27, -1.65, -0.6]	[1.94, -0.09, -1.63]	[0.5, -2.4, -0.16]	[-0.27, -1.39, 0.19]
[-1.73, 1.34, 0.97]	[-0.71, 1.96, -1.52]	[0.47, 1.18, 1.24]	[1.29, 0.71, -1.4]	[1.1, -0.36, -0.57]
[-1.88, -0.37, 1.99]	[2.04, 0.28, 0.45]	[-0.36, -0.98, -1.55]	[-0.75, 2.3, 2.18]	[-1.08, 1.43, -1.8]
[-0.89, -0.41, -1.8]	[1.61, 2.0, -0.98]	[-0.8, 1.02, 2.05]	[-1.12, -0.86, -0.14]	[-2.32, -1.21, 0.77]
