Reflection: 2
Expansion: 0
OuterContraction: 4
InContraction: 1
Shrink: 93
K_max	Best Sigma	Accuracy
10	0.7957168291883808	0.9746031746031746
20	0.7957168291883808	0.9746031746031746
30	0.7957168291883808	0.9746031746031746
40	0.7957168291883808	0.9746031746031746
50	0.7957168291883808	0.9746031746031746
60	0.7957168291883808	0.9746031746031746
70	0.7957168291883808	0.9746031746031746
80	0.7957168291883808	0.9746031746031746
90	0.7957168291883808	0.9746031746031746
100	0.7957168291883808	0.9746031746031746
---------
10	0.7957168291883808	0.9130434782608695
20	0.7957168291883808	0.9130434782608695
30	0.7957168291883808	0.9130434782608695
40	0.7957168291883808	0.9130434782608695
50	0.7957168291883808	0.9130434782608695
60	0.7957168291883808	0.9130434782608695
70	0.7957168291883808	0.9130434782608695
80	0.7957168291883808	0.9130434782608695
90	0.7957168291883808	0.9130434782608695
100	0.7957168291883808	0.9130434782608695
