[0.15, 2.32, 0.35]	[-2.45, -0.72, 1.83]	[-0.21, -0.18, 2.32]	[1.91, -2.11, -1.48]	[-0.7, -1.66, -0.33]	[0.49, 0.67, 0.69]
[2.37, -1.63, -1.81]	[0.6, 1.87, 1.3]	[0.29, -0.2, -2.2]	[0.75, 0.87, 1.61]	[0.77, -0.2, -1.18]	[1.72, 0.82, -0.28]
[0.5, 2.05, -1.49]	[0.76, -2.4, 1.81]	[1.62, -0.9, 0.08]	[0.0, -1.26, -1.57]	[2.02, 1.82, -0.89]	[-1.48, 0.1, 0.45]
[-2.25, 0.05, 0.45]	[-2.35, 1.05, -1.63]	[-1.95, -0.16, -0.06]	[-2.23, -2.39, -0.03]	[2.22, 0.76, 2.02]	[0.38, 0.16, 1.1]
[1.17, 1.27, 0.0]	[1.16, -1.37, -0.6]	[-1.79, -1.28, -1.23]	[0.12, 1.76, 0.04]	[-1.83, -1.92, 2.23]	[-1.92, -1.47, 2.16]
[0.6, 1.03, 1.55]	[1.7, 0.15, -1.17]	[-0.2, -1.71, 1.14]	[-0.18, -1.54, 2.08]	[-1.11, -1.0, 0.29]	[-2.37, -1.67, -1.92]
[-1.1, -2.27, 1.13]	[-1.92, -1.31, -0.72]	[1.5, 0.29, -0.34]	[0.05, 0.59, -1.83]	[0.91, 0.56, 1.42]	[-2.29, -0.34, -2.1]
[0.53, -1.49, -0.66]	[-0.16, -0.22, -1.43]	[1.6, 0.42, -0.48]	[-1.03, -2.16, 1.46]	[0.54, 0.72, -2.32]	[0.15, 0.59, -0.85]
[-2.38, -0.04, 1.81]	[-0.6, -1.24, -0.46]	[-1.5, 1.21, 0.36]	[1.2, -1.06, 1.88]	[0.88, 0.21, 0.41]	[0.74, -2.15, 1.61]
[1.83, 1.67, -0.21]	[-1.05, -0.38, 2.38]	[1.77, 2.26, -2.25]	[1.68, 0.74, 1.88]	[-2.05, -1.9, 1.38]	[1.95, -0.39, 1.87]
