[0.95, 0.13, 0.42]	[-0.77, 2.28, -2.43]	[1.44, 1.76, -2.46]	[-1.17, 0.96, 1.04]	[1.62, -1.4, -1.3]	[-2.11, -1.56, -0.4]
[0.16, 0.41, 0.83]	[2.38, 2.26, -1.53]	[-0.39, 2.28, -0.99]	[-0.23, -2.38, -1.48]	[-1.62, 0.42, 2.05]	[1.34, 0.63, -0.68]
[-0.7, -2.48, 0.01]	[1.87, 0.54, 1.04]	[2.21, 1.16, -1.29]	[0.46, 0.36, -1.27]	[-0.91, -2.45, 2.16]	[-1.65, 0.47, 2.28]
[-1.36, 2.35, 1.39]	[-1.04, 1.81, 2.22]	[-0.36, -0.92, -1.97]	[0.95, -0.92, 0.28]	[-2.49, -0.71, -0.89]	[-1.93, 1.32, 0.15]
[1.72, 2.22, 2.22]	[0.08, -2.23, 2.3]	[2.2, -0.21, -1.25]	[-1.52, -0.64, 1.8]	[-1.05, -1.22, -0.64]	[-1.28, -0.66, -0.5]
[2.13, -0.33, -1.09]	[1.23, 0.85, 0.75]	[2.45, 1.07, 1.65]	[1.34, -1.14, 0.12]	[-1.55, -1.99, 2.49]	[-1.08, -1.07, -2.47]
[-1.74, -1.68, -0.29]	[-1.58, 0.17, 2.0]	[1.16, 1.49, 2.19]	[-1.89, -0.06, 0.46]	[-2.17, -1.73, -1.48]	[-1.18, -1.85, 1.81]
[-1.42, -1.45, -0.15]	[-2.31, -0.98, 1.58]	[-0.7, -2.19, -2.4]	[0.48, 2.14, -1.88]	[-0.7, 1.28, -0.29]	[1.11, -1.82, -1.54]
[1.23, -2.42, -1.25]	[0.28, 0.28, -1.43]	[1.42, 1.8, 2.14]	[-0.9, 0.64, 2.03]	[-1.01, 2.08, -0.5]	[0.14, 0.62, -0.99]
[0.94, -1.16, -0.49]	[2.32, 1.61, 0.14]	[1.01, -0.97, 1.13]	[1.29, 2.23, -0.66]	[-2.26, 0.53, -0.5]	[1.03, 1.9, -1.71]
