[-1.09, 2.4, -0.49]	[1.18, 0.66, -1.23]	[-1.76, 0.85, 1.77]	[-2.42, -0.36, -1.68]	[1.09, 1.77, -0.51]	[0.97, -1.13, 1.63]
[0.09, -0.19, 1.18]	[1.13, -2.48, 1.22]	[-1.25, -0.82, -0.15]	[-1.33, 1.83, 1.73]	[-1.61, 0.55, -1.69]	[-0.42, 0.25, 0.66]
[-0.48, 1.52, -1.47]	[0.2, -1.7, -0.02]	[0.51, -2.14, -0.99]	[0.97, 0.65, -0.53]	[-1.97, 2.18, 0.18]	[-1.46, 0.87, 0.67]
[-0.6, -1.77, -1.95]	[1.05, -1.33, -2.01]	[0.11, 2.0, 2.17]	[-0.33, 0.91, 1.61]	[-1.82, -1.42, 0.64]	[-2.15, -0.17, 0.16]
[0.46, -0.03, -1.11]	[-1.01, -2.0, -1.64]	[1.86, 2.3, 0.93]	[0.62, 0.8, -0.02]	[0.21, 2.04, -0.35]	[-1.45, 1.06, -0.61]
[-1.37, 1.17, -0.32]	[-2.39, 2.07, -1.06]	[0.34, 2.0, -0.58]	[2.1, -0.75, -1.78]	[-2.34, 1.0, 1.52]	[-1.66, 1.59, 1.33]
[2.08, 1.81, 0.68]	[-1.98, -0.61, -0.41]	[2.33, -1.82, 0.13]	[0.75, 1.33, -0.04]	[-0.87, -2.01, -0.02]	[0.3, 0.51, -0.78]
[0.34, -1.36, 0.88]	[-2.5, -2.38, 2.23]	[0.96, -0.68, 1.2]	[2.23, -2.19, -0.74]	[-0.88, 1.4, 0.1]	[-0.69, -1.95, 1.46]
[-0.68, -1.84, 0.49]	[1.85, -1.89, -2.36]	[1.07, -0.72, 1.51]	[2.23, -0.14, 1.81]	[1.52, 2.44, -1.52]	[-0.94, -0.48, 2.34]
[-0.47, -1.74, -0.72]	[-1.95, -0.02, 2.28]	[1.9, -0.44, -0.14]	[0.45, -1.32, -0.31]	[2.2, -2.26, 1.57]	[2.08, -1.96, 2.35]
