[-2.22, 0.67, 1.7]	[-2.04, -0.53, -1.01]	[-1.32, 2.5, 2.47]	[-0.94, -0.88, -1.81]	[-0.85, -1.79, -0.64]	[0.98, -1.95, 2.5]
[-2.35, -1.38, 0.36]	[-1.21, 1.2, 0.76]	[-1.73, -2.49, 0.0]	[-0.55, 0.56, 2.35]	[2.35, -0.83, 1.54]	[1.37, 1.63, -1.94]
[-0.51, -2.1, 1.17]	[-0.01, 0.65, 0.65]	[-1.51, -2.1, 1.42]	[1.3, 0.39, 0.16]	[-2.16, -0.5, 0.9]	[1.18, 1.9, -2.04]
[-0.66, 1.52, 2.17]	[1.2, 2.1, 1.42]	[-1.76, -0.38, -0.07]	[0.96, -1.52, 0.7]	[1.48, 1.3, -2.37]	[2.12, 2.07, 0.09]
[0.48, -2.46, -2.13]	[0.94, -1.89, 0.35]	[1.58, 0.76, -1.54]	[-2.22, 1.45, -1.44]	[0.41, 0.03, 1.93]	[-0.95, 2.42, 0.19]
[1.35, 1.11, -2.47]	[-1.38, 1.52, -1.56]	[2.11, 0.73, 1.4]	[2.08, -0.93, -2.48]	[0.89, 0.42, -2.11]	[-0.91, -2.39, 0.4]
[0.02, -0.93, 0.37]	[1.17, -0.84, -1.72]	[0.08, 1.64, 0.69]	[-1.74, -1.52, -1.09]	[-1.12, 1.21, -0.46]	[-0.98, -1.66, -0.81]
[-0.24, 2.49, 0.91]	[-0.03, -0.06, 1.99]	[-0.78, 0.69, -2.44]	[-0.07, -0.3, 0.44]	[1.68, 1.71, 0.4]	[1.68, -0.83, 0.07]
[-1.14, -0.96, 0.7]	[-2.22, 0.7, 2.17]	[1.1, -1.65, 1.67]	[0.57, 1.54, 1.15]	[-0.05, -1.4, -1.93]	[2.23, 2.09, 0.47]
[0.36, 1.61, 0.25]	[-1.94, -1.95, -0.92]	[-2.41, 0.84, -1.38]	[-2.38, -0.46, 1.99]	[1.54, -0.6, -2.06]	[1.9, 0.2, -1.52]
