[0.8, -1.17, 1.02]	[2.37, 0.84, -0.25]	[0.25, -1.74, 2.13]	[-0.81, 1.11, -0.91]
[-0.25, -0.23, 0.26]	[0.47, -1.48, 0.72]	[-1.99, -1.57, -2.1]	[1.86, 1.19, -2.28]
[2.23, -2.36, 0.44]	[1.48, 0.41, -1.97]	[-2.4, -0.76, -0.31]	[-1.5, 0.07, -2.3]
[-1.61, -2.35, 0.89]	[0.73, -2.36, 1.17]	[0.14, -1.46, 0.15]	[0.86, 1.31, -1.44]
[-1.21, 1.97, -1.7]	[-2.44, 0.48, 0.1]	[-0.94, -0.7, 2.09]	[1.83, 0.58, 2.01]
[-2.34, 0.44, -0.86]	[1.02, -1.91, 1.61]	[2.43, -2.14, 1.27]	[-1.88, -1.24, 2.48]
[-2.01, 1.14, 1.73]	[-0.33, 0.13, -1.61]	[-1.75, -1.59, 2.0]	[-1.94, -1.24, 0.69]
[2.24, 1.08, 2.23]	[-1.99, -0.95, 0.52]	[-0.46, 1.11, 2.0]	[-1.51, 1.64, 1.78]
[1.25, 0.76, 1.4]	[-1.86, 1.93, 1.42]	[-1.58, 2.38, -0.05]	[-1.22, 0.87, 0.21]
[-0.71, 1.75, 2.47]	[-2.02, -0.96, 1.52]	[0.28, 1.63, -1.95]	[1.66, -1.45, -2.49]
